,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
2145.0,0.569,0.1472,0.511,0.929,0.062,2145.0,2130,2160,0.511
2155.0,0.569,0.1472,0.5044,0.929,0.062,2155.0,2140,2170,0.5044
2165.0,0.569,0.1472,0.5355,0.929,0.062,2165.0,2150,2180,0.5355
2175.0,0.569,0.1472,0.5565,0.929,0.062,2175.0,2160,2190,0.5565
2185.0,0.569,0.1472,0.6017,0.929,0.062,2185.0,2170,2200,0.6017
2195.0,0.569,0.1472,0.5736,0.929,0.062,2195.0,2180,2210,0.5736
2205.0,0.569,0.1472,0.4641,0.929,0.062,2205.0,2190,2220,0.4641
2215.0,0.569,0.1472,0.3691,0.929,0.062,2215.0,2200,2230,0.3691
2225.0,0.569,0.1472,0.4347,0.929,0.062,2225.0,2210,2240,0.4347
2235.0,0.569,0.1472,0.5528,0.929,0.062,2235.0,2220,2250,0.5528
2245.0,0.569,0.1472,0.4696,0.929,0.062,2245.0,2230,2260,0.4696
2255.0,0.569,0.1472,0.4918,0.929,0.062,2255.0,2240,2270,0.4918
2265.0,0.569,0.1472,0.4543,0.929,0.062,2265.0,2250,2280,0.4543
2275.0,0.569,0.1472,0.5343,0.929,0.062,2275.0,2260,2290,0.5343
2285.0,0.569,0.1472,0.499,0.929,0.062,2285.0,2270,2300,0.499
2295.0,0.569,0.1472,0.4673,0.929,0.062,2295.0,2280,2310,0.4673
2305.0,0.569,0.1472,0.4071,0.929,0.062,2305.0,2290,2320,0.4071
2315.0,0.569,0.1472,0.4657,0.929,0.062,2315.0,2300,2330,0.4657
2325.0,0.569,0.1472,0.504,0.929,0.062,2325.0,2310,2340,0.504
2335.0,0.569,0.1472,0.5756,0.929,0.062,2335.0,2320,2350,0.5756
2345.0,0.569,0.1472,0.4965,0.929,0.062,2345.0,2330,2360,0.4965
2355.0,0.569,0.1472,0.551,0.929,0.062,2355.0,2340,2370,0.551
2365.0,0.569,0.1472,0.5872,0.929,0.062,2365.0,2350,2380,0.5872
2375.0,0.569,0.1472,0.6226,0.929,0.062,2375.0,2360,2390,0.6226
2385.0,0.569,0.1472,0.5552,0.929,0.062,2385.0,2370,2400,0.5552
2395.0,0.569,0.1472,0.4802,0.929,0.062,2395.0,2380,2410,0.4802
2405.0,0.569,0.1472,0.4775,0.929,0.062,2405.0,2390,2420,0.4775
2415.0,0.569,0.1472,0.4349,0.929,0.062,2415.0,2400,2430,0.4349
2425.0,0.569,0.1472,0.5112,0.929,0.062,2425.0,2410,2440,0.5112
2435.0,0.569,0.1472,0.4453,0.929,0.062,2435.0,2420,2450,0.4453
2445.0,0.569,0.1472,0.5237,0.929,0.062,2445.0,2430,2460,0.5237
2455.0,0.569,0.1472,0.4857,0.929,0.062,2455.0,2440,2470,0.4857
2465.0,0.569,0.1472,0.5239,0.929,0.062,2465.0,2450,2480,0.5239
2475.0,0.569,0.1472,0.5016,0.929,0.062,2475.0,2460,2490,0.5016
2485.0,0.569,0.1472,0.5049,0.929,0.062,2485.0,2470,2500,0.5049
2495.0,0.569,0.1472,0.5154,0.929,0.062,2495.0,2480,2510,0.5154
2505.0,0.569,0.1472,0.538,0.929,0.062,2505.0,2490,2520,0.538
2515.0,0.569,0.1472,0.5814,0.929,0.062,2515.0,2500,2530,0.5814
2525.0,0.569,0.1472,0.5825,0.929,0.062,2525.0,2510,2540,0.5825
2535.0,0.569,0.1472,0.5375,0.929,0.062,2535.0,2520,2550,0.5375
2545.0,0.569,0.1472,0.4889,0.929,0.062,2545.0,2530,2560,0.4889
2555.0,0.569,0.1472,0.4921,0.929,0.062,2555.0,2540,2570,0.4921
2565.0,0.569,0.1472,0.4432,0.929,0.062,2565.0,2550,2580,0.4432
2575.0,0.569,0.1472,0.4137,0.929,0.062,2575.0,2560,2590,0.4137
2585.0,0.569,0.1472,0.3926,0.929,0.062,2585.0,2570,2600,0.3926
2595.0,0.569,0.1472,0.4442,0.929,0.062,2595.0,2580,2610,0.4442
2605.0,0.569,0.1472,0.4375,0.929,0.062,2605.0,2590,2620,0.4375
2615.0,0.569,0.1472,0.4645,0.929,0.062,2615.0,2600,2630,0.4645
2625.0,0.569,0.1472,0.4418,0.929,0.062,2625.0,2610,2640,0.4418
2635.0,0.569,0.1472,0.5406,0.929,0.062,2635.0,2620,2650,0.5406
2645.0,0.569,0.1472,0.5784,0.929,0.062,2645.0,2630,2660,0.5784
2655.0,0.569,0.1472,0.5909,0.929,0.062,2655.0,2640,2670,0.5909
2665.0,0.569,0.1472,0.6153,0.929,0.062,2665.0,2650,2680,0.6153
2675.0,0.569,0.1472,0.5232,0.929,0.062,2675.0,2660,2690,0.5232
2685.0,0.569,0.1472,0.4821,0.929,0.062,2685.0,2670,2700,0.4821
2695.0,0.569,0.1472,0.4449,0.929,0.062,2695.0,2680,2710,0.4449
2705.0,0.569,0.1472,0.4204,0.929,0.062,2705.0,2690,2720,0.4204
2715.0,0.569,0.1472,0.4864,0.929,0.062,2715.0,2700,2730,0.4864
2725.0,0.569,0.1472,0.4668,0.929,0.062,2725.0,2710,2740,0.4668
2735.0,0.569,0.1472,0.4748,0.929,0.062,2735.0,2720,2750,0.4748
2745.0,0.569,0.1472,0.4052,0.929,0.062,2745.0,2730,2760,0.4052
2755.0,0.569,0.1472,0.4511,0.929,0.062,2755.0,2740,2770,0.4511
2765.0,0.569,0.1472,0.4186,0.929,0.062,2765.0,2750,2780,0.4186
2775.0,0.569,0.1472,0.5255,0.929,0.062,2775.0,2760,2790,0.5255
2785.0,0.569,0.1472,0.3145,0.929,0.062,2785.0,2770,2800,0.3145
2795.0,0.569,0.1472,0.4394,0.929,0.062,2795.0,2780,2810,0.4394
2805.0,0.569,0.1472,0.4093,0.929,0.062,2805.0,2790,2820,0.4093
2815.0,0.569,0.1472,0.5276,0.929,0.062,2815.0,2800,2830,0.5276
2825.0,0.569,0.1472,0.4774,0.929,0.062,2825.0,2810,2840,0.4774
2835.0,0.569,0.1472,0.5409,0.929,0.062,2835.0,2820,2850,0.5409
2845.0,0.569,0.1472,0.6248,0.929,0.062,2845.0,2830,2860,0.6248
2855.0,0.569,0.1472,0.521,0.929,0.062,2855.0,2840,2870,0.521
2865.0,0.569,0.1472,0.486,0.929,0.062,2865.0,2850,2880,0.486
2875.0,0.569,0.1472,0.3455,0.929,0.062,2875.0,2860,2890,0.3455
2885.0,0.569,0.1472,0.4451,0.929,0.062,2885.0,2870,2900,0.4451
