,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
-510.0,0.559,0.1267,0.1873,0.902,0.0875,-510.0,-600,-420,0.1873
-500.0,0.559,0.1267,0.2024,0.902,0.0875,-500.0,-590,-410,0.2024
-490.0,0.559,0.1267,0.2133,0.902,0.0875,-490.0,-580,-400,0.2133
-480.0,0.559,0.1267,0.2255,0.902,0.0875,-480.0,-570,-390,0.2255
-470.0,0.559,0.1267,0.2375,0.902,0.0875,-470.0,-560,-380,0.2375
-460.0,0.559,0.1267,0.2335,0.902,0.0875,-460.0,-550,-370,0.2335
-450.0,0.559,0.1267,0.2207,0.902,0.0875,-450.0,-540,-360,0.2207
-440.0,0.559,0.1267,0.2115,0.902,0.0875,-440.0,-530,-350,0.2115
-430.0,0.559,0.1267,0.209,0.902,0.0875,-430.0,-520,-340,0.209
-420.0,0.559,0.1267,0.2062,0.902,0.0875,-420.0,-510,-330,0.2062
-410.0,0.559,0.1267,0.1935,0.902,0.0875,-410.0,-500,-320,0.1935
-400.0,0.559,0.1267,0.1877,0.902,0.0875,-400.0,-490,-310,0.1877
-390.0,0.559,0.1267,0.1709,0.902,0.0875,-390.0,-480,-300,0.1709
-380.0,0.559,0.1267,0.165,0.902,0.0875,-380.0,-470,-290,0.165
-370.0,0.559,0.1267,0.1621,0.902,0.0875,-370.0,-460,-280,0.1621
-360.0,0.559,0.1267,0.1665,0.902,0.0875,-360.0,-450,-270,0.1665
-350.0,0.559,0.1267,0.1615,0.902,0.0875,-350.0,-440,-260,0.1615
-340.0,0.559,0.1267,0.1638,0.902,0.0875,-340.0,-430,-250,0.1638
-330.0,0.559,0.1267,0.1595,0.902,0.0875,-330.0,-420,-240,0.1595
-320.0,0.559,0.1267,0.151,0.902,0.0875,-320.0,-410,-230,0.151
-310.0,0.559,0.1267,0.1363,0.902,0.0875,-310.0,-400,-220,0.1363
-300.0,0.559,0.1267,0.1469,0.902,0.0875,-300.0,-390,-210,0.1469
-290.0,0.559,0.1267,0.1338,0.902,0.0875,-290.0,-380,-200,0.1338
-280.0,0.559,0.1267,0.1471,0.902,0.0875,-280.0,-370,-190,0.1471
-270.0,0.559,0.1267,0.1596,0.902,0.0875,-270.0,-360,-180,0.1596
-260.0,0.559,0.1267,0.1719,0.902,0.0875,-260.0,-350,-170,0.1719
-250.0,0.559,0.1267,0.1852,0.902,0.0875,-250.0,-340,-160,0.1852
-240.0,0.559,0.1267,0.1752,0.902,0.0875,-240.0,-330,-150,0.1752
-230.0,0.559,0.1267,0.1744,0.902,0.0875,-230.0,-320,-140,0.1744
-220.0,0.559,0.1267,0.1773,0.902,0.0875,-220.0,-310,-130,0.1773
-210.0,0.559,0.1267,0.1839,0.902,0.0875,-210.0,-300,-120,0.1839
-200.0,0.559,0.1267,0.2035,0.902,0.0875,-200.0,-290,-110,0.2035
-190.0,0.559,0.1267,0.1981,0.902,0.0875,-190.0,-280,-100,0.1981
-180.0,0.559,0.1267,0.2123,0.902,0.0875,-180.0,-270,-90,0.2123
-170.0,0.559,0.1267,0.2273,0.902,0.0875,-170.0,-260,-80,0.2273
-160.0,0.559,0.1267,0.2395,0.902,0.0875,-160.0,-250,-70,0.2395
-150.0,0.559,0.1267,0.2412,0.902,0.0875,-150.0,-240,-60,0.2412
-140.0,0.559,0.1267,0.2341,0.902,0.0875,-140.0,-230,-50,0.2341
-130.0,0.559,0.1267,0.2478,0.902,0.0875,-130.0,-220,-40,0.2478
-120.0,0.559,0.1267,0.2299,0.902,0.0875,-120.0,-210,-30,0.2299
-110.0,0.559,0.1267,0.2087,0.902,0.0875,-110.0,-200,-20,0.2087
-100.0,0.559,0.1267,0.1871,0.902,0.0875,-100.0,-190,-10,0.1871
-90.0,0.559,0.1267,0.1873,0.902,0.0875,-90.0,-180,0,0.1873
-80.0,0.559,0.1267,0.1853,0.902,0.0875,-80.0,-170,10,0.1853
-70.0,0.559,0.1267,0.1789,0.902,0.0875,-70.0,-160,20,0.1789
-60.0,0.559,0.1267,0.184,0.902,0.0875,-60.0,-150,30,0.184
-50.0,0.559,0.1267,0.1873,0.902,0.0875,-50.0,-140,40,0.1873
-40.0,0.559,0.1267,0.1881,0.902,0.0875,-40.0,-130,50,0.1881
-30.0,0.559,0.1267,0.1884,0.902,0.0875,-30.0,-120,60,0.1884
-20.0,0.559,0.1267,0.1826,0.902,0.0875,-20.0,-110,70,0.1826
-10.0,0.559,0.1267,0.2171,0.902,0.0875,-10.0,-100,80,0.2171
0.0,0.559,0.1267,0.2222,0.902,0.0875,0.0,-90,90,0.2222
10.0,0.559,0.1267,0.2294,0.902,0.0875,10.0,-80,100,0.2294
20.0,0.559,0.1267,0.2293,0.902,0.0875,20.0,-70,110,0.2293
30.0,0.559,0.1267,0.2489,0.902,0.0875,30.0,-60,120,0.2489
40.0,0.559,0.1267,0.2664,0.902,0.0875,40.0,-50,130,0.2664
50.0,0.559,0.1267,0.2763,0.902,0.0875,50.0,-40,140,0.2763
60.0,0.559,0.1267,0.2977,0.902,0.0875,60.0,-30,150,0.2977
70.0,0.559,0.1267,0.3773,0.902,0.0875,70.0,-20,160,0.3773
80.0,0.559,0.1267,0.4302,0.902,0.0875,80.0,-10,170,0.4302
90.0,0.559,0.1267,0.4352,0.902,0.0875,90.0,0,180,0.4352
100.0,0.559,0.1267,0.4654,0.902,0.0875,100.0,10,190,0.4654
110.0,0.559,0.1267,0.4584,0.902,0.0875,110.0,20,200,0.4584
120.0,0.559,0.1267,0.4898,0.902,0.0875,120.0,30,210,0.4898
130.0,0.559,0.1267,0.4931,0.902,0.0875,130.0,40,220,0.4931
140.0,0.559,0.1267,0.4842,0.902,0.0875,140.0,50,230,0.4842
150.0,0.559,0.1267,0.5299,0.902,0.0875,150.0,60,240,0.5299
160.0,0.559,0.1267,0.5224,0.902,0.0875,160.0,70,250,0.5224
170.0,0.559,0.1267,0.5132,0.902,0.0875,170.0,80,260,0.5132
180.0,0.559,0.1267,0.5031,0.902,0.0875,180.0,90,270,0.5031
190.0,0.559,0.1267,0.4999,0.902,0.0875,190.0,100,280,0.4999
200.0,0.559,0.1267,0.5044,0.902,0.0875,200.0,110,290,0.5044
210.0,0.559,0.1267,0.5207,0.902,0.0875,210.0,120,300,0.5207
220.0,0.559,0.1267,0.5457,0.902,0.0875,220.0,130,310,0.5457
230.0,0.559,0.1267,0.5571,0.902,0.0875,230.0,140,320,0.5571
240.0,0.559,0.1267,0.555,0.902,0.0875,240.0,150,330,0.555
250.0,0.559,0.1267,0.5552,0.902,0.0875,250.0,160,340,0.5552
260.0,0.559,0.1267,0.5597,0.902,0.0875,260.0,170,350,0.5597
270.0,0.559,0.1267,0.5723,0.902,0.0875,270.0,180,360,0.5723
280.0,0.559,0.1267,0.5801,0.902,0.0875,280.0,190,370,0.5801
290.0,0.559,0.1267,0.5751,0.902,0.0875,290.0,200,380,0.5751
300.0,0.559,0.1267,0.5612,0.902,0.0875,300.0,210,390,0.5612
310.0,0.559,0.1267,0.5647,0.902,0.0875,310.0,220,400,0.5647
320.0,0.559,0.1267,0.5864,0.902,0.0875,320.0,230,410,0.5864
330.0,0.559,0.1267,0.5497,0.902,0.0875,330.0,240,420,0.5497
340.0,0.559,0.1267,0.5499,0.902,0.0875,340.0,250,430,0.5499
