,tmean,tstart,tstop,size_mean,size_max,num_bursts,burst_width,burst_width_high,phrate_mean
0,-510.0,-600.0,-420.0,145.93,685.7,295,4.34,3.87,211738.7
1,-500.0,-590.0,-410.0,147.83,685.7,298,4.38,3.93,214803.3
2,-490.0,-580.0,-400.0,147.52,685.7,294,4.38,3.94,215078.6
3,-480.0,-570.0,-390.0,146.14,685.7,295,4.39,3.98,212922.8
4,-470.0,-560.0,-380.0,146.08,685.7,300,4.38,4.06,212491.0
5,-460.0,-550.0,-370.0,145.84,685.7,313,4.34,4.02,212500.9
6,-450.0,-540.0,-360.0,146.64,685.7,292,4.37,4.07,213141.4
7,-440.0,-530.0,-350.0,143.96,685.7,287,4.35,4.09,207976.2
8,-430.0,-520.0,-340.0,146.79,691.0,299,4.42,4.09,207216.1
9,-420.0,-510.0,-330.0,145.8,691.0,311,4.42,4.08,206273.1
10,-410.0,-500.0,-320.0,143.92,691.0,316,4.4,3.97,201884.3
11,-400.0,-490.0,-310.0,146.33,691.0,309,4.43,4.0,207497.6
12,-390.0,-480.0,-300.0,146.57,691.0,300,4.4,3.96,207240.2
13,-380.0,-470.0,-290.0,146.7,691.0,310,4.38,3.94,209503.3
14,-370.0,-460.0,-280.0,145.82,691.0,299,4.35,4.06,206528.5
15,-360.0,-450.0,-270.0,145.57,691.0,282,4.32,4.03,209137.7
16,-350.0,-440.0,-260.0,143.76,691.0,283,4.24,4.02,209785.9
17,-340.0,-430.0,-250.0,145.1,701.6,286,4.23,3.97,210621.1
18,-330.0,-420.0,-240.0,144.96,701.6,288,4.24,3.91,210856.6
19,-320.0,-410.0,-230.0,144.0,701.6,288,4.2,3.86,209666.1
20,-310.0,-400.0,-220.0,146.76,701.6,292,4.23,3.95,210598.7
21,-300.0,-390.0,-210.0,145.81,701.6,294,4.21,3.66,215960.2
22,-290.0,-380.0,-200.0,144.08,701.6,294,4.18,3.5,215146.5
23,-280.0,-370.0,-190.0,143.64,701.6,289,4.2,3.52,215582.1
