,tmean,tstart,tstop,size_mean,size_max,num_bursts,burst_width,burst_width_high,phrate_mean
0,-810.0,-900.0,-720.0,145.23,1142.3,679,3.73,3.02,228349.5
1,-800.0,-890.0,-710.0,146.81,1142.3,725,3.74,3.06,230669.0
2,-790.0,-880.0,-700.0,145.82,1142.3,745,3.67,3.09,234880.3
3,-780.0,-870.0,-690.0,144.76,1142.3,763,3.63,3.1,235376.6
4,-770.0,-860.0,-680.0,145.25,1142.3,810,3.62,3.09,236053.2
5,-760.0,-850.0,-670.0,145.04,1142.3,831,3.62,3.13,235102.1
6,-750.0,-840.0,-660.0,144.94,1142.3,835,3.62,3.1,233655.4
7,-740.0,-830.0,-650.0,144.81,1142.3,840,3.61,3.15,232486.8
8,-730.0,-820.0,-640.0,144.15,1142.3,858,3.58,3.18,231500.3
9,-720.0,-810.0,-630.0,142.04,892.0,879,3.57,3.17,228039.0
10,-710.0,-800.0,-620.0,141.34,892.0,898,3.54,3.16,226986.9
11,-700.0,-790.0,-610.0,141.84,892.0,927,3.53,3.12,226843.4
12,-690.0,-780.0,-600.0,140.19,892.0,947,3.5,3.09,222697.0
13,-680.0,-770.0,-590.0,139.59,892.0,969,3.48,3.07,224113.5
14,-670.0,-760.0,-580.0,139.9,892.0,971,3.45,3.08,226590.8
15,-660.0,-750.0,-570.0,140.9,892.0,976,3.44,3.06,226927.1
16,-650.0,-740.0,-560.0,142.46,1136.5,1007,3.45,3.07,225143.5
17,-640.0,-730.0,-550.0,142.83,1136.5,1036,3.44,3.1,226708.0
18,-630.0,-720.0,-540.0,144.49,1136.5,1020,3.46,3.09,228921.8
19,-620.0,-710.0,-530.0,142.52,1136.5,998,3.45,3.03,226197.4
20,-610.0,-700.0,-520.0,142.27,1136.5,1003,3.46,2.98,223979.5
21,-600.0,-690.0,-510.0,141.25,1136.5,1001,3.45,3.0,221441.8
22,-590.0,-680.0,-500.0,141.32,1136.5,968,3.43,3.03,219241.1
23,-580.0,-670.0,-490.0,141.75,1136.5,965,3.4,3.02,221300.2
24,-570.0,-660.0,-480.0,143.1,1136.5,993,3.41,3.05,222690.3
25,-560.0,-650.0,-470.0,142.71,1136.5,997,3.39,3.01,222412.6
26,-550.0,-640.0,-460.0,143.1,1136.5,1014,3.38,2.97,223896.2
27,-540.0,-630.0,-450.0,141.73,1136.5,1015,3.38,3.01,223015.0
28,-530.0,-620.0,-440.0,141.29,1136.5,1002,3.37,3.01,223329.3
29,-520.0,-610.0,-430.0,140.96,1136.5,987,3.36,3.05,221547.5
30,-510.0,-600.0,-420.0,142.04,1136.5,976,3.34,3.02,227341.3
31,-500.0,-590.0,-410.0,142.68,1136.5,981,3.35,3.0,225935.6
32,-490.0,-580.0,-400.0,143.22,1136.5,998,3.37,3.04,223896.4
33,-480.0,-570.0,-390.0,141.95,1136.5,997,3.36,3.09,223501.1
34,-470.0,-560.0,-380.0,141.17,908.2,974,3.37,3.12,226047.6
35,-460.0,-550.0,-370.0,139.54,908.2,965,3.35,3.11,224343.3
36,-450.0,-540.0,-360.0,137.77,908.2,990,3.33,3.07,221630.2
37,-440.0,-530.0,-350.0,139.68,908.2,1009,3.35,3.11,222843.1
38,-430.0,-520.0,-340.0,139.21,908.2,1005,3.34,3.12,221977.0
39,-420.0,-510.0,-330.0,139.25,908.2,1011,3.35,3.09,223158.1
40,-410.0,-500.0,-320.0,138.88,908.2,1003,3.37,3.08,222691.6
41,-400.0,-490.0,-310.0,139.26,908.2,1012,3.41,3.11,220720.6
42,-390.0,-480.0,-300.0,137.01,908.2,994,3.39,3.09,219295.9
43,-380.0,-470.0,-290.0,137.17,908.2,1009,3.4,3.11,219530.8
44,-370.0,-460.0,-280.0,137.47,908.2,990,3.42,3.13,220345.5
45,-360.0,-450.0,-270.0,138.65,908.2,970,3.45,3.12,220752.6
46,-350.0,-440.0,-260.0,139.99,908.2,996,3.5,3.15,220167.2
47,-340.0,-430.0,-250.0,140.21,908.2,983,3.51,3.11,220241.6
48,-330.0,-420.0,-240.0,140.45,908.2,974,3.54,3.18,218359.4
49,-320.0,-410.0,-230.0,139.77,908.2,950,3.55,3.2,216214.3
50,-310.0,-400.0,-220.0,138.32,567.7,935,3.53,3.18,217367.2
51,-300.0,-390.0,-210.0,138.93,567.7,924,3.55,3.13,216265.7
52,-290.0,-380.0,-200.0,137.88,631.2,928,3.53,3.11,213478.5
53,-280.0,-370.0,-190.0,137.95,631.2,909,3.55,3.09,212423.9
54,-270.0,-360.0,-180.0,139.34,631.2,890,3.57,3.12,214702.7
55,-260.0,-350.0,-170.0,138.43,776.6,890,3.56,3.07,215319.7
