,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
1230.0,0.569,0.1472,0.5699,0.929,0.062,1230.0,1200,1260,0.5699
1240.0,0.569,0.1472,0.593,0.929,0.062,1240.0,1210,1270,0.593
1250.0,0.569,0.1472,0.5664,0.929,0.062,1250.0,1220,1280,0.5664
1260.0,0.569,0.1472,0.5367,0.929,0.062,1260.0,1230,1290,0.5367
1270.0,0.569,0.1472,0.5063,0.929,0.062,1270.0,1240,1300,0.5063
1280.0,0.569,0.1472,0.4803,0.929,0.062,1280.0,1250,1310,0.4803
1290.0,0.569,0.1472,0.4746,0.929,0.062,1290.0,1260,1320,0.4746
1300.0,0.569,0.1472,0.4966,0.929,0.062,1300.0,1270,1330,0.4966
1310.0,0.569,0.1472,0.5017,0.929,0.062,1310.0,1280,1340,0.5017
1320.0,0.569,0.1472,0.489,0.929,0.062,1320.0,1290,1350,0.489
1330.0,0.569,0.1472,0.4694,0.929,0.062,1330.0,1300,1360,0.4694
1340.0,0.569,0.1472,0.4853,0.929,0.062,1340.0,1310,1370,0.4853
1350.0,0.569,0.1472,0.4508,0.929,0.062,1350.0,1320,1380,0.4508
1360.0,0.569,0.1472,0.3999,0.929,0.062,1360.0,1330,1390,0.3999
1370.0,0.569,0.1472,0.3687,0.929,0.062,1370.0,1340,1400,0.3687
1380.0,0.569,0.1472,0.4118,0.929,0.062,1380.0,1350,1410,0.4118
1390.0,0.569,0.1472,0.4452,0.929,0.062,1390.0,1360,1420,0.4452
1400.0,0.569,0.1472,0.5212,0.929,0.062,1400.0,1370,1430,0.5212
1410.0,0.569,0.1472,0.5725,0.929,0.062,1410.0,1380,1440,0.5725
1420.0,0.569,0.1472,0.5813,0.929,0.062,1420.0,1390,1450,0.5813
1430.0,0.569,0.1472,0.6089,0.929,0.062,1430.0,1400,1460,0.6089
1440.0,0.569,0.1472,0.5916,0.929,0.062,1440.0,1410,1470,0.5916
1450.0,0.569,0.1472,0.5591,0.929,0.062,1450.0,1420,1480,0.5591
1460.0,0.569,0.1472,0.5288,0.929,0.062,1460.0,1430,1490,0.5288
1470.0,0.569,0.1472,0.4877,0.929,0.062,1470.0,1440,1500,0.4877
1480.0,0.569,0.1472,0.4314,0.929,0.062,1480.0,1450,1510,0.4314
