,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
-885.0,0.569,0.1472,0.0875,0.929,0.062,-885.0,-900,-870,0.0875
-875.0,0.569,0.1472,0.0571,0.929,0.062,-875.0,-890,-860,0.0571
-865.0,0.569,0.1472,0.0401,0.929,0.062,-865.0,-880,-850,0.0401
-855.0,0.569,0.1472,0.0638,0.929,0.062,-855.0,-870,-840,0.0638
-845.0,0.569,0.1472,0.1471,0.929,0.062,-845.0,-860,-830,0.1471
-835.0,0.569,0.1472,0.2391,0.929,0.062,-835.0,-850,-820,0.2391
-825.0,0.569,0.1472,0.3121,0.929,0.062,-825.0,-840,-810,0.3121
-815.0,0.569,0.1472,0.2599,0.929,0.062,-815.0,-830,-800,0.2599
-805.0,0.569,0.1472,0.1854,0.929,0.062,-805.0,-820,-790,0.1854
-795.0,0.569,0.1472,0.1867,0.929,0.062,-795.0,-810,-780,0.1867
-785.0,0.569,0.1472,0.1652,0.929,0.062,-785.0,-800,-770,0.1652
-775.0,0.569,0.1472,0.1342,0.929,0.062,-775.0,-790,-760,0.1342
-765.0,0.569,0.1472,0.1667,0.929,0.062,-765.0,-780,-750,0.1667
-755.0,0.569,0.1472,0.2234,0.929,0.062,-755.0,-770,-740,0.2234
-745.0,0.569,0.1472,0.181,0.929,0.062,-745.0,-760,-730,0.181
-735.0,0.569,0.1472,0.0813,0.929,0.062,-735.0,-750,-720,0.0813
-725.0,0.569,0.1472,0.0758,0.929,0.062,-725.0,-740,-710,0.0758
-715.0,0.569,0.1472,0.1556,0.929,0.062,-715.0,-730,-700,0.1556
-705.0,0.569,0.1472,0.1239,0.929,0.062,-705.0,-720,-690,0.1239
-695.0,0.569,0.1472,0.1108,0.929,0.062,-695.0,-710,-680,0.1108
-685.0,0.569,0.1472,0.0683,0.929,0.062,-685.0,-700,-670,0.0683
-675.0,0.569,0.1472,0.0948,0.929,0.062,-675.0,-690,-660,0.0948
-665.0,0.569,0.1472,0.0647,0.929,0.062,-665.0,-680,-650,0.0647
-655.0,0.569,0.1472,0.0858,0.929,0.062,-655.0,-670,-640,0.0858
-645.0,0.569,0.1472,0.1417,0.929,0.062,-645.0,-660,-630,0.1417
-635.0,0.569,0.1472,0.1568,0.929,0.062,-635.0,-650,-620,0.1568
-625.0,0.569,0.1472,0.1623,0.929,0.062,-625.0,-640,-610,0.1623
-615.0,0.569,0.1472,0.126,0.929,0.062,-615.0,-630,-600,0.126
-605.0,0.569,0.1472,0.1033,0.929,0.062,-605.0,-620,-590,0.1033
-595.0,0.569,0.1472,0.0931,0.929,0.062,-595.0,-610,-580,0.0931
-585.0,0.569,0.1472,0.0908,0.929,0.062,-585.0,-600,-570,0.0908
-575.0,0.569,0.1472,0.0931,0.929,0.062,-575.0,-590,-560,0.0931
-565.0,0.569,0.1472,0.0811,0.929,0.062,-565.0,-580,-550,0.0811
-555.0,0.569,0.1472,0.031,0.929,0.062,-555.0,-570,-540,0.031
-545.0,0.569,0.1472,0.0192,0.929,0.062,-545.0,-560,-530,0.0192
-535.0,0.569,0.1472,0.0172,0.929,0.062,-535.0,-550,-520,0.0172
-525.0,0.569,0.1472,0.0419,0.929,0.062,-525.0,-540,-510,0.0419
-515.0,0.569,0.1472,0.0782,0.929,0.062,-515.0,-530,-500,0.0782
-505.0,0.569,0.1472,0.077,0.929,0.062,-505.0,-520,-490,0.077
-495.0,0.569,0.1472,0.0805,0.929,0.062,-495.0,-510,-480,0.0805
-485.0,0.569,0.1472,0.0938,0.929,0.062,-485.0,-500,-470,0.0938
-475.0,0.569,0.1472,0.1456,0.929,0.062,-475.0,-490,-460,0.1456
-465.0,0.569,0.1472,0.2354,0.929,0.062,-465.0,-480,-450,0.2354
-455.0,0.569,0.1472,0.2292,0.929,0.062,-455.0,-470,-440,0.2292
-445.0,0.569,0.1472,0.2644,0.929,0.062,-445.0,-460,-430,0.2644
-435.0,0.569,0.1472,0.2117,0.929,0.062,-435.0,-450,-420,0.2117
-425.0,0.569,0.1472,0.1603,0.929,0.062,-425.0,-440,-410,0.1603
-415.0,0.569,0.1472,0.0658,0.929,0.062,-415.0,-430,-400,0.0658
-405.0,0.569,0.1472,0.0446,0.929,0.062,-405.0,-420,-390,0.0446
-395.0,0.569,0.1472,0.062,0.929,0.062,-395.0,-410,-380,0.062
-385.0,0.569,0.1472,0.0819,0.929,0.062,-385.0,-400,-370,0.0819
-375.0,0.569,0.1472,0.1282,0.929,0.062,-375.0,-390,-360,0.1282
-365.0,0.569,0.1472,0.1179,0.929,0.062,-365.0,-380,-350,0.1179
-355.0,0.569,0.1472,0.1217,0.929,0.062,-355.0,-370,-340,0.1217
-345.0,0.569,0.1472,0.0789,0.929,0.062,-345.0,-360,-330,0.0789
-335.0,0.569,0.1472,0.0558,0.929,0.062,-335.0,-350,-320,0.0558
-325.0,0.569,0.1472,0.0498,0.929,0.062,-325.0,-340,-310,0.0498
-315.0,0.569,0.1472,0.062,0.929,0.062,-315.0,-330,-300,0.062
