,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
-870.0,0.571,0.1435,0.1955,0.918,0.0716,-870.0,-900,-840,0.1955
-860.0,0.571,0.1435,0.1722,0.918,0.0716,-860.0,-890,-830,0.1722
-850.0,0.571,0.1435,0.1718,0.918,0.0716,-850.0,-880,-820,0.1718
-840.0,0.571,0.1435,0.1723,0.918,0.0716,-840.0,-870,-810,0.1723
-830.0,0.571,0.1435,0.1519,0.918,0.0716,-830.0,-860,-800,0.1519
-820.0,0.571,0.1435,0.158,0.918,0.0716,-820.0,-850,-790,0.158
-810.0,0.571,0.1435,0.1804,0.918,0.0716,-810.0,-840,-780,0.1804
-800.0,0.571,0.1435,0.1785,0.918,0.0716,-800.0,-830,-770,0.1785
-790.0,0.571,0.1435,0.1828,0.918,0.0716,-790.0,-820,-760,0.1828
-780.0,0.571,0.1435,0.1763,0.918,0.0716,-780.0,-810,-750,0.1763
-770.0,0.571,0.1435,0.1682,0.918,0.0716,-770.0,-800,-740,0.1682
-760.0,0.571,0.1435,0.1566,0.918,0.0716,-760.0,-790,-730,0.1566
-750.0,0.571,0.1435,0.1273,0.918,0.0716,-750.0,-780,-720,0.1273
-740.0,0.571,0.1435,0.1335,0.918,0.0716,-740.0,-770,-710,0.1335
-730.0,0.571,0.1435,0.1429,0.918,0.0716,-730.0,-760,-700,0.1429
-720.0,0.571,0.1435,0.1317,0.918,0.0716,-720.0,-750,-690,0.1317
-710.0,0.571,0.1435,0.1048,0.918,0.0716,-710.0,-740,-680,0.1048
-700.0,0.571,0.1435,0.0964,0.918,0.0716,-700.0,-730,-670,0.0964
-690.0,0.571,0.1435,0.1141,0.918,0.0716,-690.0,-720,-660,0.1141
-680.0,0.571,0.1435,0.1264,0.918,0.0716,-680.0,-710,-650,0.1264
-670.0,0.571,0.1435,0.116,0.918,0.0716,-670.0,-700,-640,0.116
-660.0,0.571,0.1435,0.131,0.918,0.0716,-660.0,-690,-630,0.131
-650.0,0.571,0.1435,0.1546,0.918,0.0716,-650.0,-680,-620,0.1546
-640.0,0.571,0.1435,0.1761,0.918,0.0716,-640.0,-670,-610,0.1761
-630.0,0.571,0.1435,0.1756,0.918,0.0716,-630.0,-660,-600,0.1756
-620.0,0.571,0.1435,0.1564,0.918,0.0716,-620.0,-650,-590,0.1564
-610.0,0.571,0.1435,0.1418,0.918,0.0716,-610.0,-640,-580,0.1418
-600.0,0.571,0.1435,0.1274,0.918,0.0716,-600.0,-630,-570,0.1274
-590.0,0.571,0.1435,0.1184,0.918,0.0716,-590.0,-620,-560,0.1184
-580.0,0.571,0.1435,0.0862,0.918,0.0716,-580.0,-610,-550,0.0862
-570.0,0.571,0.1435,0.0653,0.918,0.0716,-570.0,-600,-540,0.0653
-560.0,0.571,0.1435,0.0716,0.918,0.0716,-560.0,-590,-530,0.0716
-550.0,0.571,0.1435,0.0865,0.918,0.0716,-550.0,-580,-520,0.0865
-540.0,0.571,0.1435,0.106,0.918,0.0716,-540.0,-570,-510,0.106
-530.0,0.571,0.1435,0.1209,0.918,0.0716,-530.0,-560,-500,0.1209
-520.0,0.571,0.1435,0.1497,0.918,0.0716,-520.0,-550,-490,0.1497
-510.0,0.571,0.1435,0.1654,0.918,0.0716,-510.0,-540,-480,0.1654
-500.0,0.571,0.1435,0.153,0.918,0.0716,-500.0,-530,-470,0.153
-490.0,0.571,0.1435,0.171,0.918,0.0716,-490.0,-520,-460,0.171
-480.0,0.571,0.1435,0.1924,0.918,0.0716,-480.0,-510,-450,0.1924
-470.0,0.571,0.1435,0.1921,0.918,0.0716,-470.0,-500,-440,0.1921
-460.0,0.571,0.1435,0.2064,0.918,0.0716,-460.0,-490,-430,0.2064
-450.0,0.571,0.1435,0.2331,0.918,0.0716,-450.0,-480,-420,0.2331
-440.0,0.571,0.1435,0.2354,0.918,0.0716,-440.0,-470,-410,0.2354
-430.0,0.571,0.1435,0.2501,0.918,0.0716,-430.0,-460,-400,0.2501
-420.0,0.571,0.1435,0.2478,0.918,0.0716,-420.0,-450,-390,0.2478
-410.0,0.571,0.1435,0.242,0.918,0.0716,-410.0,-440,-380,0.242
-400.0,0.571,0.1435,0.2148,0.918,0.0716,-400.0,-430,-370,0.2148
-390.0,0.571,0.1435,0.1837,0.918,0.0716,-390.0,-420,-360,0.1837
-380.0,0.571,0.1435,0.2132,0.918,0.0716,-380.0,-410,-350,0.2132
-370.0,0.571,0.1435,0.1807,0.918,0.0716,-370.0,-400,-340,0.1807
-360.0,0.571,0.1435,0.1496,0.918,0.0716,-360.0,-390,-330,0.1496
-350.0,0.571,0.1435,0.1591,0.918,0.0716,-350.0,-380,-320,0.1591
-340.0,0.571,0.1435,0.1619,0.918,0.0716,-340.0,-370,-310,0.1619
-330.0,0.571,0.1435,0.1811,0.918,0.0716,-330.0,-360,-300,0.1811
-320.0,0.571,0.1435,0.1521,0.918,0.0716,-320.0,-350,-290,0.1521
-310.0,0.571,0.1435,0.1655,0.918,0.0716,-310.0,-340,-280,0.1655
-300.0,0.571,0.1435,0.1567,0.918,0.0716,-300.0,-330,-270,0.1567
-290.0,0.571,0.1435,0.1836,0.918,0.0716,-290.0,-320,-260,0.1836
-280.0,0.571,0.1435,0.2188,0.918,0.0716,-280.0,-310,-250,0.2188
-270.0,0.571,0.1435,0.2036,0.918,0.0716,-270.0,-300,-240,0.2036
-260.0,0.571,0.1435,0.1949,0.918,0.0716,-260.0,-290,-230,0.1949
-250.0,0.571,0.1435,0.223,0.918,0.0716,-250.0,-280,-220,0.223
-240.0,0.571,0.1435,0.2202,0.918,0.0716,-240.0,-270,-210,0.2202
-230.0,0.571,0.1435,0.1682,0.918,0.0716,-230.0,-260,-200,0.1682
-220.0,0.571,0.1435,0.1266,0.918,0.0716,-220.0,-250,-190,0.1266
-210.0,0.571,0.1435,0.1354,0.918,0.0716,-210.0,-240,-180,0.1354
-200.0,0.571,0.1435,0.1368,0.918,0.0716,-200.0,-230,-170,0.1368
-190.0,0.571,0.1435,0.1052,0.918,0.0716,-190.0,-220,-160,0.1052
-180.0,0.571,0.1435,0.1665,0.918,0.0716,-180.0,-210,-150,0.1665
-170.0,0.571,0.1435,0.186,0.918,0.0716,-170.0,-200,-140,0.186
-160.0,0.571,0.1435,0.1902,0.918,0.0716,-160.0,-190,-130,0.1902
-150.0,0.571,0.1435,0.1616,0.918,0.0716,-150.0,-180,-120,0.1616
-140.0,0.571,0.1435,0.2079,0.918,0.0716,-140.0,-170,-110,0.2079
-130.0,0.571,0.1435,0.2155,0.918,0.0716,-130.0,-160,-100,0.2155
-120.0,0.571,0.1435,0.17,0.918,0.0716,-120.0,-150,-90,0.17
-110.0,0.571,0.1435,0.179,0.918,0.0716,-110.0,-140,-80,0.179
-100.0,0.571,0.1435,0.181,0.918,0.0716,-100.0,-130,-70,0.181
-90.0,0.571,0.1435,0.2264,0.918,0.0716,-90.0,-120,-60,0.2264
-80.0,0.571,0.1435,0.1831,0.918,0.0716,-80.0,-110,-50,0.1831
-70.0,0.571,0.1435,0.1957,0.918,0.0716,-70.0,-100,-40,0.1957
-60.0,0.571,0.1435,0.2121,0.918,0.0716,-60.0,-90,-30,0.2121
-50.0,0.571,0.1435,0.2076,0.918,0.0716,-50.0,-80,-20,0.2076
-40.0,0.571,0.1435,0.19,0.918,0.0716,-40.0,-70,-10,0.19
-30.0,0.571,0.1435,0.1793,0.918,0.0716,-30.0,-60,0,0.1793
-20.0,0.571,0.1435,0.1864,0.918,0.0716,-20.0,-50,10,0.1864
-10.0,0.571,0.1435,0.1562,0.918,0.0716,-10.0,-40,20,0.1562
0.0,0.571,0.1435,0.1491,0.918,0.0716,0.0,-30,30,0.1491
10.0,0.571,0.1435,0.1452,0.918,0.0716,10.0,-20,40,0.1452
20.0,0.571,0.1435,0.2003,0.918,0.0716,20.0,-10,50,0.2003
30.0,0.571,0.1435,0.2202,0.918,0.0716,30.0,0,60,0.2202
40.0,0.571,0.1435,0.2738,0.918,0.0716,40.0,10,70,0.2738
50.0,0.571,0.1435,0.2927,0.918,0.0716,50.0,20,80,0.2927
60.0,0.571,0.1435,0.2912,0.918,0.0716,60.0,30,90,0.2912
70.0,0.571,0.1435,0.353,0.918,0.0716,70.0,40,100,0.353
80.0,0.571,0.1435,0.3696,0.918,0.0716,80.0,50,110,0.3696
90.0,0.571,0.1435,0.407,0.918,0.0716,90.0,60,120,0.407
100.0,0.571,0.1435,0.3936,0.918,0.0716,100.0,70,130,0.3936
110.0,0.571,0.1435,0.461,0.918,0.0716,110.0,80,140,0.461
120.0,0.571,0.1435,0.4843,0.918,0.0716,120.0,90,150,0.4843
130.0,0.571,0.1435,0.4206,0.918,0.0716,130.0,100,160,0.4206
140.0,0.571,0.1435,0.4547,0.918,0.0716,140.0,110,170,0.4547
150.0,0.571,0.1435,0.4881,0.918,0.0716,150.0,120,180,0.4881
160.0,0.571,0.1435,0.5286,0.918,0.0716,160.0,130,190,0.5286
170.0,0.571,0.1435,0.4467,0.918,0.0716,170.0,140,200,0.4467
180.0,0.571,0.1435,0.4589,0.918,0.0716,180.0,150,210,0.4589
190.0,0.571,0.1435,0.5407,0.918,0.0716,190.0,160,220,0.5407
200.0,0.571,0.1435,0.5076,0.918,0.0716,200.0,170,230,0.5076
210.0,0.571,0.1435,0.4837,0.918,0.0716,210.0,180,240,0.4837
220.0,0.571,0.1435,0.4589,0.918,0.0716,220.0,190,250,0.4589
230.0,0.571,0.1435,0.5022,0.918,0.0716,230.0,200,260,0.5022
240.0,0.571,0.1435,0.4803,0.918,0.0716,240.0,210,270,0.4803
250.0,0.571,0.1435,0.4187,0.918,0.0716,250.0,220,280,0.4187
260.0,0.571,0.1435,0.5119,0.918,0.0716,260.0,230,290,0.5119
270.0,0.571,0.1435,0.4968,0.918,0.0716,270.0,240,300,0.4968
280.0,0.571,0.1435,0.5108,0.918,0.0716,280.0,250,310,0.5108
290.0,0.571,0.1435,0.5239,0.918,0.0716,290.0,260,320,0.5239
300.0,0.571,0.1435,0.5744,0.918,0.0716,300.0,270,330,0.5744
310.0,0.571,0.1435,0.5884,0.918,0.0716,310.0,280,340,0.5884
320.0,0.571,0.1435,0.5186,0.918,0.0716,320.0,290,350,0.5186
330.0,0.571,0.1435,0.5385,0.918,0.0716,330.0,300,360,0.5385
340.0,0.571,0.1435,0.5229,0.918,0.0716,340.0,310,370,0.5229
350.0,0.571,0.1435,0.5625,0.918,0.0716,350.0,320,380,0.5625
360.0,0.571,0.1435,0.5329,0.918,0.0716,360.0,330,390,0.5329
370.0,0.571,0.1435,0.5197,0.918,0.0716,370.0,340,400,0.5197
380.0,0.571,0.1435,0.5574,0.918,0.0716,380.0,350,410,0.5574
390.0,0.571,0.1435,0.5922,0.918,0.0716,390.0,360,420,0.5922
400.0,0.571,0.1435,0.6364,0.918,0.0716,400.0,370,430,0.6364
410.0,0.571,0.1435,0.6031,0.918,0.0716,410.0,380,440,0.6031
420.0,0.571,0.1435,0.5429,0.918,0.0716,420.0,390,450,0.5429
430.0,0.571,0.1435,0.558,0.918,0.0716,430.0,400,460,0.558
440.0,0.571,0.1435,0.5077,0.918,0.0716,440.0,410,470,0.5077
450.0,0.571,0.1435,0.4784,0.918,0.0716,450.0,420,480,0.4784
460.0,0.571,0.1435,0.4732,0.918,0.0716,460.0,430,490,0.4732
470.0,0.571,0.1435,0.4754,0.918,0.0716,470.0,440,500,0.4754
480.0,0.571,0.1435,0.5174,0.918,0.0716,480.0,450,510,0.5174
490.0,0.571,0.1435,0.4508,0.918,0.0716,490.0,460,520,0.4508
500.0,0.571,0.1435,0.4971,0.918,0.0716,500.0,470,530,0.4971
510.0,0.571,0.1435,0.4724,0.918,0.0716,510.0,480,540,0.4724
520.0,0.571,0.1435,0.4734,0.918,0.0716,520.0,490,550,0.4734
530.0,0.571,0.1435,0.4074,0.918,0.0716,530.0,500,560,0.4074
540.0,0.571,0.1435,0.4192,0.918,0.0716,540.0,510,570,0.4192
550.0,0.571,0.1435,0.4671,0.918,0.0716,550.0,520,580,0.4671
560.0,0.571,0.1435,0.4712,0.918,0.0716,560.0,530,590,0.4712
570.0,0.571,0.1435,0.4939,0.918,0.0716,570.0,540,600,0.4939
