,tmean,tstart,tstop,size_mean,size_max,num_bursts,burst_width,burst_width_high,phrate_mean
78,-30.0,-120.0,60.0,142.85,932.2,446,3.79,3.12,231266.6
79,-20.0,-110.0,70.0,140.81,932.2,447,3.71,3.07,233063.7
80,-10.0,-100.0,80.0,140.2,932.2,426,3.62,3.06,237531.1
81,0.0,-90.0,90.0,138.88,932.2,400,3.57,3.08,238742.7
82,10.0,-80.0,100.0,141.01,932.2,381,3.55,3.06,245218.7
83,20.0,-70.0,110.0,139.77,736.6,375,3.49,3.06,246413.0
84,30.0,-60.0,120.0,141.47,736.6,359,3.39,2.9,253860.2
85,40.0,-50.0,130.0,141.36,736.6,354,3.29,2.85,256751.3
86,50.0,-40.0,140.0,145.28,736.6,328,3.26,2.78,264806.8
87,60.0,-30.0,150.0,138.8,736.6,312,3.08,2.68,265203.2
88,70.0,-20.0,160.0,140.93,736.6,306,3.03,2.64,272354.0
89,80.0,-10.0,170.0,139.96,736.6,291,2.97,2.61,267409.6
90,90.0,0.0,180.0,138.22,736.6,267,2.82,2.58,272766.9
91,100.0,10.0,190.0,138.37,736.6,264,2.83,2.55,272657.5
92,110.0,20.0,200.0,139.06,736.6,269,2.85,2.59,271887.8
93,120.0,30.0,210.0,138.13,736.6,284,2.87,2.67,267040.4
94,130.0,40.0,220.0,140.28,736.6,284,2.94,2.7,268858.2
95,140.0,50.0,230.0,141.96,736.6,283,3.01,2.75,269414.3
96,150.0,60.0,240.0,138.17,736.6,268,3.06,2.78,248346.3
97,160.0,70.0,250.0,142.17,736.6,268,3.13,2.81,249252.6
98,170.0,80.0,260.0,140.14,606.3,279,3.19,2.85,243046.3
99,180.0,90.0,270.0,140.68,606.3,312,3.21,2.9,246187.3
100,190.0,100.0,280.0,139.04,606.3,309,3.21,2.89,243680.7
101,200.0,110.0,290.0,134.85,498.3,307,3.18,2.87,239187.2
102,210.0,120.0,300.0,135.84,498.3,305,3.24,2.96,237026.8
103,220.0,130.0,310.0,137.04,498.3,294,3.29,3.03,238054.3
104,230.0,140.0,320.0,134.75,498.3,307,3.3,3.07,233638.0
105,240.0,150.0,330.0,134.95,498.3,303,3.31,3.09,234932.5
106,250.0,160.0,340.0,136.04,492.4,301,3.35,3.16,230495.8
107,260.0,170.0,350.0,136.72,492.4,301,3.36,3.15,235771.0
108,270.0,180.0,360.0,136.32,492.4,302,3.4,3.12,232602.7
109,280.0,190.0,370.0,136.59,518.0,319,3.42,3.18,228237.5
110,290.0,200.0,380.0,137.36,518.0,329,3.43,3.19,231224.1
111,300.0,210.0,390.0,137.2,518.0,326,3.44,3.15,231581.5
112,310.0,220.0,400.0,135.15,518.0,331,3.41,3.15,228298.4
113,320.0,230.0,410.0,134.17,518.0,336,3.4,3.13,230392.7
114,330.0,240.0,420.0,133.64,566.7,339,3.42,3.21,227946.1
115,340.0,250.0,430.0,132.0,566.7,326,3.44,3.26,224168.4
116,350.0,260.0,440.0,131.63,566.7,315,3.44,3.26,221273.4
117,360.0,270.0,450.0,132.33,566.7,286,3.48,3.27,217630.2
118,370.0,280.0,460.0,133.55,566.7,288,3.48,3.29,220174.6
119,380.0,290.0,470.0,134.89,566.7,291,3.53,3.33,221713.6
120,390.0,300.0,480.0,134.8,566.7,295,3.56,3.36,221138.3
121,400.0,310.0,490.0,132.69,566.7,290,3.53,3.33,217747.4
122,410.0,320.0,500.0,132.71,566.7,275,3.53,3.3,218336.9
123,420.0,330.0,510.0,136.63,566.7,277,3.57,3.31,226940.8
124,430.0,340.0,520.0,136.81,1105.6,281,3.56,3.34,229959.8
125,440.0,350.0,530.0,134.69,1105.6,285,3.53,3.31,226425.9
126,450.0,360.0,540.0,135.57,1105.6,289,3.56,3.33,228312.6
127,460.0,370.0,550.0,136.22,1105.6,278,3.57,3.3,232228.7
128,470.0,380.0,560.0,135.27,1105.6,277,3.58,3.32,225286.6
129,480.0,390.0,570.0,135.04,1105.6,281,3.58,3.33,226755.3
130,490.0,400.0,580.0,136.14,1105.6,274,3.61,3.34,228535.1
131,500.0,410.0,590.0,136.25,1105.6,267,3.64,3.4,225905.9
132,510.0,420.0,600.0,137.4,1105.6,269,3.66,3.36,228513.0
133,520.0,430.0,610.0,140.94,1105.6,285,3.67,3.34,235862.7
134,530.0,440.0,620.0,141.17,1105.6,285,3.67,3.36,234697.2
135,540.0,450.0,630.0,139.38,1105.6,287,3.64,3.36,233585.2
136,550.0,460.0,640.0,136.96,1105.6,293,3.63,3.39,226756.0
137,560.0,470.0,650.0,137.17,1105.6,294,3.64,3.39,225788.6
138,570.0,480.0,660.0,139.66,1105.6,290,3.67,3.35,227903.5
139,580.0,490.0,670.0,143.44,1105.6,302,3.69,3.39,229710.0
140,590.0,500.0,680.0,143.5,1105.6,318,3.67,3.39,232240.6
141,600.0,510.0,690.0,142.13,1105.6,315,3.68,3.41,226767.5
142,610.0,520.0,700.0,138.6,608.7,311,3.64,3.34,220624.5
143,620.0,530.0,710.0,139.37,608.7,320,3.63,3.33,221532.4
144,630.0,540.0,720.0,144.11,1415.2,308,3.66,3.34,225617.2
145,640.0,550.0,730.0,144.48,1415.2,300,3.66,3.37,227671.6
146,650.0,560.0,740.0,142.98,1415.2,299,3.63,3.34,230299.2
147,660.0,570.0,750.0,143.83,1415.2,297,3.66,3.37,227784.8
148,670.0,580.0,760.0,144.5,1415.2,296,3.68,3.36,228760.4
149,680.0,590.0,770.0,145.27,1415.2,294,3.66,3.36,230612.7
150,690.0,600.0,780.0,146.38,1415.2,285,3.67,3.32,232263.4
151,700.0,610.0,790.0,145.88,1415.2,274,3.67,3.37,230639.0
152,710.0,620.0,800.0,143.71,1415.2,277,3.66,3.39,227576.6
153,720.0,630.0,810.0,144.88,1415.2,275,3.71,3.42,228191.7
154,730.0,640.0,820.0,144.75,1415.2,284,3.7,3.41,229977.8
155,740.0,650.0,830.0,147.82,1415.2,281,3.75,3.48,229829.7
156,750.0,660.0,840.0,145.93,1415.2,283,3.71,3.47,229350.7
157,760.0,670.0,850.0,143.65,1415.2,278,3.67,3.42,229553.5
158,770.0,680.0,860.0,143.48,1415.2,276,3.7,3.43,227319.6
159,780.0,690.0,870.0,144.53,1415.2,280,3.74,3.51,224317.3
160,790.0,700.0,880.0,145.76,1415.2,279,3.77,3.54,228386.0
161,800.0,710.0,890.0,146.49,1415.2,258,3.82,3.71,227550.1
162,810.0,720.0,900.0,140.32,769.3,268,3.82,3.72,223015.3
163,820.0,730.0,910.0,140.32,769.3,266,3.83,3.68,220610.9
164,830.0,740.0,920.0,142.91,769.3,265,3.86,3.72,219518.7
165,840.0,750.0,930.0,143.73,769.3,267,3.88,3.68,221576.9
166,850.0,760.0,940.0,142.87,769.3,271,3.86,3.71,219328.2
167,860.0,770.0,950.0,141.11,769.3,277,3.84,3.64,214131.9
168,870.0,780.0,960.0,138.76,769.3,284,3.78,3.6,214916.9
169,880.0,790.0,970.0,135.05,769.3,286,3.72,3.51,213336.3
170,890.0,800.0,980.0,137.81,769.3,296,3.76,3.56,216535.0
171,900.0,810.0,990.0,138.19,769.3,306,3.76,3.58,216378.9
