,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
-885.0,0.571,0.1435,0.1764,0.918,0.0716,-885.0,-900,-870,0.1764
-875.0,0.571,0.1435,0.1965,0.918,0.0716,-875.0,-890,-860,0.1965
-865.0,0.571,0.1435,0.2323,0.918,0.0716,-865.0,-880,-850,0.2323
-855.0,0.571,0.1435,0.2095,0.918,0.0716,-855.0,-870,-840,0.2095
-845.0,0.571,0.1435,0.1482,0.918,0.0716,-845.0,-860,-830,0.1482
-835.0,0.571,0.1435,0.1104,0.918,0.0716,-835.0,-850,-820,0.1104
-825.0,0.571,0.1435,0.1367,0.918,0.0716,-825.0,-840,-810,0.1367
-815.0,0.571,0.1435,0.1554,0.918,0.0716,-815.0,-830,-800,0.1554
-805.0,0.571,0.1435,0.2062,0.918,0.0716,-805.0,-820,-790,0.2062
-795.0,0.571,0.1435,0.227,0.918,0.0716,-795.0,-810,-780,0.227
-785.0,0.571,0.1435,0.2036,0.918,0.0716,-785.0,-800,-770,0.2036
-775.0,0.571,0.1435,0.1617,0.918,0.0716,-775.0,-790,-760,0.1617
-765.0,0.571,0.1435,0.1335,0.918,0.0716,-765.0,-780,-750,0.1335
-755.0,0.571,0.1435,0.1411,0.918,0.0716,-755.0,-770,-740,0.1411
-745.0,0.571,0.1435,0.1522,0.918,0.0716,-745.0,-760,-730,0.1522
-735.0,0.571,0.1435,0.1219,0.918,0.0716,-735.0,-750,-720,0.1219
-725.0,0.571,0.1435,0.1267,0.918,0.0716,-725.0,-740,-710,0.1267
-715.0,0.571,0.1435,0.1353,0.918,0.0716,-715.0,-730,-700,0.1353
-705.0,0.571,0.1435,0.1414,0.918,0.0716,-705.0,-720,-690,0.1414
-695.0,0.571,0.1435,0.0851,0.918,0.0716,-695.0,-710,-680,0.0851
-685.0,0.571,0.1435,0.0644,0.918,0.0716,-685.0,-700,-670,0.0644
-675.0,0.571,0.1435,0.0911,0.918,0.0716,-675.0,-690,-660,0.0911
-665.0,0.571,0.1435,0.1847,0.918,0.0716,-665.0,-680,-650,0.1847
-655.0,0.571,0.1435,0.1994,0.918,0.0716,-655.0,-670,-640,0.1994
-645.0,0.571,0.1435,0.1792,0.918,0.0716,-645.0,-660,-630,0.1792
-635.0,0.571,0.1435,0.1311,0.918,0.0716,-635.0,-650,-620,0.1311
-625.0,0.571,0.1435,0.1591,0.918,0.0716,-625.0,-640,-610,0.1591
-615.0,0.571,0.1435,0.1724,0.918,0.0716,-615.0,-630,-600,0.1724
-605.0,0.571,0.1435,0.18,0.918,0.0716,-605.0,-620,-590,0.18
-595.0,0.571,0.1435,0.1232,0.918,0.0716,-595.0,-610,-580,0.1232
-585.0,0.571,0.1435,0.0794,0.918,0.0716,-585.0,-600,-570,0.0794
-575.0,0.571,0.1435,0.0562,0.918,0.0716,-575.0,-590,-560,0.0562
-565.0,0.571,0.1435,0.0563,0.918,0.0716,-565.0,-580,-550,0.0563
-555.0,0.571,0.1435,0.0536,0.918,0.0716,-555.0,-570,-540,0.0536
-545.0,0.571,0.1435,0.0871,0.918,0.0716,-545.0,-560,-530,0.0871
-535.0,0.571,0.1435,0.1268,0.918,0.0716,-535.0,-550,-520,0.1268
-525.0,0.571,0.1435,0.1752,0.918,0.0716,-525.0,-540,-510,0.1752
-515.0,0.571,0.1435,0.1575,0.918,0.0716,-515.0,-530,-500,0.1575
-505.0,0.571,0.1435,0.1728,0.918,0.0716,-505.0,-520,-490,0.1728
-495.0,0.571,0.1435,0.157,0.918,0.0716,-495.0,-510,-480,0.157
-485.0,0.571,0.1435,0.1487,0.918,0.0716,-485.0,-500,-470,0.1487
-475.0,0.571,0.1435,0.1696,0.918,0.0716,-475.0,-490,-460,0.1696
-465.0,0.571,0.1435,0.2221,0.918,0.0716,-465.0,-480,-450,0.2221
-455.0,0.571,0.1435,0.2274,0.918,0.0716,-455.0,-470,-440,0.2274
-445.0,0.571,0.1435,0.2495,0.918,0.0716,-445.0,-460,-430,0.2495
-435.0,0.571,0.1435,0.2474,0.918,0.0716,-435.0,-450,-420,0.2474
-425.0,0.571,0.1435,0.2444,0.918,0.0716,-425.0,-440,-410,0.2444
-415.0,0.571,0.1435,0.2507,0.918,0.0716,-415.0,-430,-400,0.2507
-405.0,0.571,0.1435,0.248,0.918,0.0716,-405.0,-420,-390,0.248
-395.0,0.571,0.1435,0.2397,0.918,0.0716,-395.0,-410,-380,0.2397
-385.0,0.571,0.1435,0.1788,0.918,0.0716,-385.0,-400,-370,0.1788
-375.0,0.571,0.1435,0.1145,0.918,0.0716,-375.0,-390,-360,0.1145
-365.0,0.571,0.1435,0.1857,0.918,0.0716,-365.0,-380,-350,0.1857
-355.0,0.571,0.1435,0.1827,0.918,0.0716,-355.0,-370,-340,0.1827
-345.0,0.571,0.1435,0.1892,0.918,0.0716,-345.0,-360,-330,0.1892
-335.0,0.571,0.1435,0.1269,0.918,0.0716,-335.0,-350,-320,0.1269
-325.0,0.571,0.1435,0.1396,0.918,0.0716,-325.0,-340,-310,0.1396
-315.0,0.571,0.1435,0.1727,0.918,0.0716,-315.0,-330,-300,0.1727
-305.0,0.571,0.1435,0.1748,0.918,0.0716,-305.0,-320,-290,0.1748
-295.0,0.571,0.1435,0.192,0.918,0.0716,-295.0,-310,-280,0.192
-285.0,0.571,0.1435,0.1417,0.918,0.0716,-285.0,-300,-270,0.1417
-275.0,0.571,0.1435,0.1918,0.918,0.0716,-275.0,-290,-260,0.1918
-265.0,0.571,0.1435,0.2473,0.918,0.0716,-265.0,-280,-250,0.2473
-255.0,0.571,0.1435,0.2717,0.918,0.0716,-255.0,-270,-240,0.2717
