,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
-810.0,0.571,0.1435,0.1636,0.918,0.0716,-810.0,-900,-720,0.1636
-800.0,0.571,0.1435,0.1585,0.918,0.0716,-800.0,-890,-710,0.1585
-790.0,0.571,0.1435,0.1635,0.918,0.0716,-790.0,-880,-700,0.1635
-780.0,0.571,0.1435,0.1578,0.918,0.0716,-780.0,-870,-690,0.1578
-770.0,0.571,0.1435,0.1372,0.918,0.0716,-770.0,-860,-680,0.1372
-760.0,0.571,0.1435,0.1309,0.918,0.0716,-760.0,-850,-670,0.1309
-750.0,0.571,0.1435,0.1364,0.918,0.0716,-750.0,-840,-660,0.1364
-740.0,0.571,0.1435,0.143,0.918,0.0716,-740.0,-830,-650,0.143
-730.0,0.571,0.1435,0.1435,0.918,0.0716,-730.0,-820,-640,0.1435
-720.0,0.571,0.1435,0.1437,0.918,0.0716,-720.0,-810,-630,0.1437
-710.0,0.571,0.1435,0.1392,0.918,0.0716,-710.0,-800,-620,0.1392
-700.0,0.571,0.1435,0.139,0.918,0.0716,-700.0,-790,-610,0.139
-690.0,0.571,0.1435,0.1392,0.918,0.0716,-690.0,-780,-600,0.1392
-680.0,0.571,0.1435,0.1395,0.918,0.0716,-680.0,-770,-590,0.1395
-670.0,0.571,0.1435,0.1335,0.918,0.0716,-670.0,-760,-580,0.1335
-660.0,0.571,0.1435,0.13,0.918,0.0716,-660.0,-750,-570,0.13
-650.0,0.571,0.1435,0.1243,0.918,0.0716,-650.0,-740,-560,0.1243
-640.0,0.571,0.1435,0.1158,0.918,0.0716,-640.0,-730,-550,0.1158
-630.0,0.571,0.1435,0.1168,0.918,0.0716,-630.0,-720,-540,0.1168
-620.0,0.571,0.1435,0.1179,0.918,0.0716,-620.0,-710,-530,0.1179
-610.0,0.571,0.1435,0.1142,0.918,0.0716,-610.0,-700,-520,0.1142
-600.0,0.571,0.1435,0.1215,0.918,0.0716,-600.0,-690,-510,0.1215
-590.0,0.571,0.1435,0.1303,0.918,0.0716,-590.0,-680,-500,0.1303
