,p1_center,p1_sigma,p2_amplitude,p2_center,p2_sigma,tmean,tstart,tstop,kinetics
-585.0,0.559,0.1267,0.1258,0.902,0.0875,-585.0,-600,-570,0.1258
-575.0,0.559,0.1267,0.1367,0.902,0.0875,-575.0,-590,-560,0.1367
-565.0,0.559,0.1267,0.1609,0.902,0.0875,-565.0,-580,-550,0.1609
-555.0,0.559,0.1267,0.2044,0.902,0.0875,-555.0,-570,-540,0.2044
-545.0,0.559,0.1267,0.1832,0.902,0.0875,-545.0,-560,-530,0.1832
-535.0,0.559,0.1267,0.153,0.902,0.0875,-535.0,-550,-520,0.153
-525.0,0.559,0.1267,0.1287,0.902,0.0875,-525.0,-540,-510,0.1287
-515.0,0.559,0.1267,0.3409,0.902,0.0875,-515.0,-530,-500,0.3409
-505.0,0.559,0.1267,0.3821,0.902,0.0875,-505.0,-520,-490,0.3821
-495.0,0.559,0.1267,0.4104,0.902,0.0875,-495.0,-510,-480,0.4104
-485.0,0.559,0.1267,0.2928,0.902,0.0875,-485.0,-500,-470,0.2928
-475.0,0.559,0.1267,0.2668,0.902,0.0875,-475.0,-490,-460,0.2668
-465.0,0.559,0.1267,0.0951,0.902,0.0875,-465.0,-480,-450,0.0951
-455.0,0.559,0.1267,0.135,0.902,0.0875,-455.0,-470,-440,0.135
-445.0,0.559,0.1267,0.0713,0.902,0.0875,-445.0,-460,-430,0.0713
-435.0,0.559,0.1267,0.1396,0.902,0.0875,-435.0,-450,-420,0.1396
-425.0,0.559,0.1267,0.2215,0.902,0.0875,-425.0,-440,-410,0.2215
-415.0,0.559,0.1267,0.3456,0.902,0.0875,-415.0,-430,-400,0.3456
-405.0,0.559,0.1267,0.3721,0.902,0.0875,-405.0,-420,-390,0.3721
-395.0,0.559,0.1267,0.3853,0.902,0.0875,-395.0,-410,-380,0.3853
-385.0,0.559,0.1267,0.2988,0.902,0.0875,-385.0,-400,-370,0.2988
-375.0,0.559,0.1267,0.2145,0.902,0.0875,-375.0,-390,-360,0.2145
-365.0,0.559,0.1267,0.0543,0.902,0.0875,-365.0,-380,-350,0.0543
-355.0,0.559,0.1267,0.01,0.902,0.0875,-355.0,-370,-340,0.01
-345.0,0.559,0.1267,0.1075,0.902,0.0875,-345.0,-360,-330,0.1075
-335.0,0.559,0.1267,0.1918,0.902,0.0875,-335.0,-350,-320,0.1918
-325.0,0.559,0.1267,0.2029,0.902,0.0875,-325.0,-340,-310,0.2029
-315.0,0.559,0.1267,0.147,0.902,0.0875,-315.0,-330,-300,0.147
