Sample,<E>,SDV(E),Median,Mode
7d,0.9125,0.045,0.919782,0.935147
12d,0.725,0.0675,0.728564,0.736041
17d,0.4225,0.08,0.421083,0.418087
22d,0.185,0.035,0.18327,0.179754	
27d,0.08,0.00,0.08,0.08
