,E,S,bp,max_rate,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms,max_rate_Dem,max_rate_Aem
0,0.193642,1.034878,0,45135.698,1.855,-0.323,7.726,-0.022,9.258,11,0.0198300125,0.0193951375,0.4349,,
1,0.584694,0.737138,0,82442.467,10.686,6.517,7.59,-0.033,24.793,27,0.082132575,0.08148215,0.6504,,43138.77
2,0.374578,0.477148,0,97590.254,6.304,18.441,10.525,-0.038,35.269,38,0.165182425,0.164428975,0.7535,36161.736,
3,0.42016,0.609961,0,267765.997,13.316,20.266,18.377,-0.05,51.958,56,0.16583708749999998,0.1648481125,0.989,56660.755,47560.99
4,0.584853,0.839873,0,47617.628,5.316,1.733,3.773,-0.018,10.822,12,0.166036875,0.1656770625,0.3598,,
5,0.698115,0.711084,0,48940.539,6.419,3.736,2.776,-0.018,12.931,14,0.1663451625,0.165989625,0.3555,,
6,-0.043472,1.032559,0,56716.737,-0.447,-0.324,10.725,-0.022,9.954,12,0.36432791249999996,0.36389145,0.4365,51011.61,
7,-0.025214,1.03578,0,45020.536,-0.215,-0.295,8.75,-0.02,8.24,10,0.3643911125,0.363994075,0.397,,
8,0.371045,1.028884,0,56285.993,3.979,-0.301,6.744,-0.021,10.422,12,0.3651381875,0.364732775,0.4054,,
9,0.45302,0.647685,0,193462.696,13.656,16.397,16.488,-0.041,46.541,50,0.3849459,0.384133825,0.8121,79741.274,94486.898
10,0.076723,1.026609,0,201822.732,1.542,-0.521,18.558,-0.036,19.579,23,0.5982924,0.5975907874999999,0.7016,182435.916,
11,0.229388,1.031123,0,48367.166,2.017,-0.265,6.775,-0.018,8.526,10,0.6003449125,0.5999875499999999,0.3574,,
12,0.584877,0.574394,0,46099.152,5.311,6.729,3.77,-0.019,15.81,17,0.7116456875,0.7112806749999999,0.365,,
13,0.307158,0.47653,0,52102.436,2.996,10.715,6.758,-0.02,20.47,22,0.7125275875,0.7121442499999999,0.3833,,
14,0.625934,0.5998,0,58856.56,6.321,6.738,3.777,-0.018,16.836,18,0.7127825,0.71242955,0.353,,
15,0.305142,0.557686,0,53107.924,2.953,7.674,6.723,-0.022,17.35,19,0.7718291374999999,0.77139035,0.4388,,
16,0.349276,0.360059,0,45306.093,3.087,15.706,5.75,-0.02,24.543,26,0.850594175,0.8501981875,0.396,,
17,0.306209,0.330373,0,46592.359,2.976,19.696,6.742,-0.021,29.413,31,0.85069385,0.8502843,0.4096,,
18,0.337678,0.912293,0,70941.815,5.409,1.54,10.609,-0.032,17.559,20,0.9548969625,0.9542774875,0.6195,33831.888,
19,0.730624,0.443264,0,94098.497,17.711,30.446,6.53,-0.038,54.687,57,1.136230925,1.1354852375,0.7457,,57299.592
20,0.808438,0.422221,0,53563.34,7.53,12.746,1.784,-0.017,22.06,23,1.1363318624999998,1.13598965,0.3422,,
21,0.728752,0.464064,0,45567.492,7.386,11.704,2.749,-0.02,21.839,23,1.13643875,1.136040675,0.3981,,
22,0.691485,0.464541,0,66873.207,8.138,13.565,3.631,-0.03,25.334,27,1.1376281875,1.1370425,0.5857,,
23,0.427078,0.604484,0,115692.243,5.1,7.813,6.841,-0.013,19.754,21,1.14439645,1.1441446625,0.2518,,
24,0.41457,1.034433,0,54536.552,4.053,-0.325,5.724,-0.022,9.451,11,1.1898313375,1.1893930625,0.4383,,
25,0.13367,0.929151,0,159444.367,2.718,1.551,17.619,-0.031,21.888,25,1.2534351875,1.2528301499999999,0.605,97922.064,
26,0.306831,0.67415,0,101495.716,5.978,9.417,13.505,-0.04,28.901,32,1.3914825499999999,1.3906977249999999,0.7848,59143.534,
27,0.684751,0.582171,0,308746.87,8.478,8.886,3.903,-0.008,21.267,22,1.437090575,1.4369367625,0.1538,,
28,0.810569,0.773468,0,45020.536,7.487,2.705,1.75,-0.02,11.942,13,1.4378434,1.4374463625,0.397,,
29,0.846438,0.70524,0,48912.748,9.441,4.662,1.713,-0.023,15.815,17,1.4379839625,1.437528325,0.4556,,38653.227
30,0.371116,0.938651,0,63745.3,3.981,0.701,6.746,-0.021,11.428,13,1.4386952874999999,1.4382927875,0.4025,,
31,0.41642,0.531216,0,57559.637,4.126,8.743,5.782,-0.018,18.65,20,1.4392401124999998,1.4388937,0.3464,,
32,0.659089,0.747506,0,89882.359,7.354,3.769,3.804,-0.016,14.926,16,1.4429385124999998,1.4426270625,0.3114,,
33,-0.040522,0.936313,0,50424.967,-0.419,0.703,10.747,-0.02,11.031,13,1.4953357375,1.494935175,0.4006,47112.934,
34,0.368848,0.350545,0,57855.223,3.909,19.633,6.688,-0.025,30.23,32,1.75664245,1.7561478874999998,0.4946,,
35,0.195714,0.555654,0,50661.788,1.886,7.706,7.75,-0.02,17.342,19,1.760693775,1.7602978375,0.3959,,
36,0.202301,0.677231,0,102229.953,3.195,7.527,12.599,-0.032,23.321,26,1.8312775875,1.8306410625,0.6365,63114.574,
37,0.712371,0.526885,0,175119.488,9.286,11.705,3.749,-0.02,24.739,26,1.8541463624999999,1.85374855,0.3978,,74925.008
38,-0.021902,0.921537,0,46820.934,-0.188,0.731,8.771,-0.019,9.314,11,1.8733487125,1.8729862124999999,0.3625,,
39,0.157863,0.939734,0,82475.494,3.468,1.409,18.498,0.959,23.374,28,1.87399085,1.8731944999999999,0.7963,70472.765,
40,0.332101,0.267156,0,54064.959,3.832,31.655,7.708,0.976,43.195,46,1.8969409874999998,1.8964770375,0.464,,
41,0.468595,0.282665,0,47897.953,4.194,22.713,4.756,-0.02,31.662,33,1.8971310625,1.89674405,0.387,,
42,0.183815,0.298332,0,61393.592,2.385,30.517,10.59,-0.033,43.493,46,1.8974787499999999,1.8968287,0.65,34693.542,
43,0.102848,0.699706,0,46305.204,0.889,3.709,7.753,-0.02,12.35,14,1.9641783625,1.96378595,0.3924,,
44,0.392938,0.50237,0,104409.186,8.112,20.449,12.532,-0.038,41.092,44,1.97322965,1.9724870124999998,0.7426,37333.726,25563.029
45,0.382868,0.476813,0,103764.895,4.732,13.56,7.627,-0.03,25.919,28,1.9744345125,1.9738426,0.5919,,
46,0.218296,0.530453,0,219513.522,4.1,16.627,14.684,-0.026,35.411,38,1.9762917125,1.975789775,0.5019,73375.105,
47,0.521726,0.728927,0,59506.278,5.148,3.67,4.719,-0.023,13.537,15,1.9781396375,1.977694675,0.445,,
48,0.56581,0.944946,0,70316.22,6.105,0.629,4.685,-0.026,11.418,13,2.0154945,2.0149943375,0.5002,,
49,-0.015052,1.025401,0,64614.265,-0.131,-0.215,8.817,-0.015,8.471,10,2.0169842625,2.016694475,0.2898,,
50,0.102424,1.035455,0,44731.77,0.884,-0.296,7.749,-0.02,8.338,10,2.0171834875,2.016785375,0.3981,,
51,-0.128001,1.013156,0,274381.116,-2.922,-0.296,25.748,-0.02,22.53,26,2.0376960375,2.0372968499999997,0.3992,275231.623,
52,0.521948,0.933821,0,58354.499,5.185,0.704,4.749,-0.02,10.637,12,2.075879825,2.07548115,0.3987,,
53,0.008309,0.897517,0,120447.033,0.105,1.442,12.527,-0.038,14.074,17,2.285139875,2.2843888375,0.751,100828.02,
54,0.296151,0.903602,0,66531.799,4.492,1.618,10.676,-0.026,16.786,19,2.5047965999999997,2.5042823125,0.5143,51738.428,
55,0.426151,0.939148,0,115350.007,5.052,0.768,6.803,-0.016,12.623,14,2.5499903875,2.5496781625,0.3122,,
56,-0.00293,1.027396,0,155805.849,-0.046,-0.416,15.647,-0.029,15.185,18,2.606637225,2.6060769749999997,0.5602,78041.958,
57,0.002314,0.903596,0,75064.915,0.034,1.565,14.63,-0.03,16.229,19,2.6903325375,2.6897460625,0.5865,59878.205,
58,0.17578,0.979323,0,151117.998,4.393,0.528,20.599,-0.032,25.52,29,2.7817836375,2.7811475375,0.6361,118728.003,
59,-0.067725,0.998758,0,198644.125,-3.311,0.061,52.203,-0.065,48.952,57,2.8265962499999997,2.8253313749999998,1.2649,154183.294,
60,0.42776,0.438573,0,303571.478,21.061,63.028,28.175,-0.067,112.264,118,2.9108862875,2.9095775374999997,1.3088,89459.644,155705.266
61,0.625261,0.691959,0,218980.638,25.5,18.155,15.283,-0.058,58.938,63,3.3217280375,3.3205904375,1.1376,37172.271,128077.776
62,0.483168,0.659896,0,347673.439,23.011,24.545,24.614,-0.031,72.17,76,3.3507921625,3.3501799374999996,0.6122,128767.047,278747.57
63,0.626384,0.413985,0,71295.94,12.571,28.409,7.498,-0.041,48.478,51,3.35264405,3.351848125,0.7959,,47649.038
64,0.308299,0.630663,0,55605.837,3.021,5.739,6.778,-0.018,15.539,17,3.4170827,3.41673115,0.3516,,
65,0.237647,1.016413,0,94155.628,2.144,-0.146,6.876,-0.01,8.874,10,3.4264847874999997,3.4262886375,0.1962,,
66,0.390542,0.695644,0,229149.677,23.099,25.877,36.047,-0.077,85.022,92,3.8661968874999997,3.8646846124999996,1.5123,131655.623,108532.504
67,0.620807,0.483974,0,102601.011,10.776,18.508,6.582,-0.034,35.866,38,4.1631928125,4.1625299875,0.6628,,56063.677
68,0.541922,0.896486,0,177740.553,7.98,1.7,6.746,-0.021,16.426,18,4.3120836124999995,4.31168005,0.4036,,
69,0.6991,0.711494,0,44239.864,6.384,3.703,2.748,-0.02,12.835,14,4.312144,4.311744024999999,0.4,,
70,0.632808,0.555015,0,268106.241,24.562,31.119,14.252,-0.061,69.933,74,4.3130787375,4.3118926,1.1861,83635.519,80090.431
71,0.229782,0.762591,0,50815.174,2.023,2.74,6.779,0.982,11.542,14,4.3169811125,4.3166312625,0.3498,,
72,0.411886,0.733282,0,81971.909,7.457,6.586,10.648,0.972,24.691,28,4.3173406375,4.31678255,0.5581,62237.924,
73,0.470118,0.481844,0,107048.808,10.279,23.511,11.585,-0.034,45.375,48,4.3372365875,4.336578687499999,0.6579,49549.89,41890.243
74,0.584438,0.746282,0,103643.883,8.081,4.701,5.746,-0.021,18.528,20,4.5255485124999995,4.52514575,0.4028,,
75,0.107359,0.563755,0,78071.564,2.811,20.263,23.374,-0.051,46.448,51,4.5423773375,4.54138425,0.9931,57678.592,
76,0.322163,0.957893,0,157131.191,4.603,0.628,9.684,-0.026,14.915,17,4.582296125,4.5817951625,0.501,35780.774,
77,0.34928,0.926015,0,45336.896,3.087,0.706,5.75,-0.02,9.543,11,4.5823860875,4.5819902125,0.3959,,
78,0.558307,0.49356,0,160544.363,13.293,24.43,10.516,-0.039,48.239,51,4.6227959499999995,4.622028625,0.7673,28824.635,82008.115
79,0.106531,0.699329,0,53497.141,0.928,3.746,7.784,-0.017,12.458,14,4.6237269125,4.623384525,0.3424,,
80,0.533597,0.630947,0,194898.304,8.66,9.492,7.569,-0.035,25.721,28,4.691529225,4.6908457125,0.6835,,48993.729
81,0.369504,0.74435,0,64512.035,3.929,3.652,6.705,-0.024,14.287,16,4.720898675,4.7204305,0.4682,,
82,0.416492,0.850274,0,61006.842,4.128,1.745,5.784,-0.017,11.658,13,4.721038324999999,4.7206955375,0.3428,,
83,0.565684,0.586563,0,68190.286,6.177,7.697,4.743,0.979,18.617,21,4.8831947,4.882786837499999,0.4079,,
84,0.469685,0.706118,0,56547.88,4.257,3.772,4.807,0.984,12.836,15,4.8833468125,4.8830402,0.3066,,
