,E,S,bp,max_rate,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms,max_rate_Dem,max_rate_Aem
40,0.180064,1.029326,0,175352.845,1.878,-0.297,8.55,-0.021,10.131,12,1.806279775,1.8059967749999999,0.283,,
41,0.052773,0.705139,0,141328.798,0.576,4.566,10.344,-0.03,15.487,18,1.8858942625,1.8854813,0.413,61224.494,
42,-0.002075,1.039755,0,73440.639,-0.031,-0.577,15.127,-0.04,14.518,18,1.8932793124999998,1.8927295375,0.5498,70128.376,
43,0.31969,0.932325,0,73395.583,3.075,0.698,6.543,-0.021,10.316,12,1.96422915,1.9639416374999998,0.2875,,
44,0.137397,1.051698,0,93601.21,2.053,-0.734,12.889,-0.051,14.207,18,2.28602695,2.285327325,0.6996,66598.318,
45,-0.157007,1.048198,0,47409.929,-1.28,-0.375,9.433,-0.026,7.778,10,2.286094775,2.2857376874999997,0.3571,48345.339,
46,-0.158135,1.049452,0,45035.138,-1.286,-0.383,9.42,-0.027,7.751,10,2.2861972374999997,2.28583215,0.3651,45970.548,
47,-0.007775,1.026527,0,78192.605,-0.067,-0.222,8.664,-0.016,8.375,10,2.2866393499999997,2.2864277375,0.2116,,
48,0.281972,0.973559,0,126638.709,4.368,0.421,11.124,0.959,15.913,20,2.5811910499999997,2.5806392875,0.5518,69912.048,
49,0.239008,1.046647,0,46908.548,2.02,-0.377,6.43,0.974,8.073,11,2.5813379125,2.5809792,0.3587,,
50,0.068552,0.795634,0,68793.386,0.69,2.584,9.371,-0.029,12.645,15,2.5996381625,2.5992420375,0.3961,62099.586,
51,0.020831,0.959339,0,102171.16,0.284,0.578,13.362,-0.029,14.225,17,2.6179878875,2.6175862999999997,0.4016,103106.569,
52,0.210699,0.572676,0,77666.7,3.198,11.326,11.981,-0.047,26.505,30,2.6410851749999997,2.64044345,0.6417,54606.231,
53,-0.136687,0.915703,0,82684.608,-1.163,0.783,9.672,-0.015,9.292,11,2.7355366,2.7353302125,0.2064,83620.018,
54,-0.044787,1.048694,0,56593.188,-0.442,-0.458,10.307,-0.032,9.407,12,2.735879425,2.7354431,0.4363,57528.598,
55,0.029902,1.057069,0,140813.313,0.341,-0.616,11.068,-0.043,10.793,14,2.9822830249999996,2.9816963,0.5867,75855.994,
56,-0.034224,0.544358,0,44646.059,-0.31,7.584,9.371,-0.029,16.646,19,3.2384277375,3.2380319125,0.3958,45581.468,
57,-0.072611,0.736041,0,57406.952,-0.882,4.354,13.023,-0.045,16.495,20,3.2387979875,3.2381827125,0.6153,49088.67,
58,0.027441,0.959943,0,62031.422,0.347,0.527,12.284,-0.033,13.158,16,3.41542835,3.414977875,0.4505,50639.501,
59,0.09406,0.728954,0,175649.967,4.452,17.6,42.883,-0.098,64.935,74,3.5834288125,3.582095725,1.3331,137059.837,14648.12
60,0.134663,0.880839,0,67574.823,1.625,1.633,10.444,-0.026,13.703,16,3.5836338375,3.5832840875,0.3497,54938.772,
61,0.047469,0.668325,0,135884.552,0.796,8.325,15.979,-0.047,25.101,29,3.5846771,3.5840344749999997,0.6426,85939.009,
62,-0.018562,1.05355,0,123485.304,-0.288,-0.789,15.807,-0.055,14.73,19,3.89468515,3.8939338125,0.7513,124420.714,
63,0.241419,0.471674,0,64809.23,2.097,9.728,6.588,-0.019,18.412,20,4.0467380749999995,4.0464786375,0.2594,,
64,0.042708,1.013177,0,202276.247,0.568,-0.173,12.738,-0.012,13.133,15,4.441094875,4.440930025,0.1648,151485.084,
65,0.487321,0.606287,0,50979.006,4.23,5.636,4.45,-0.025,14.316,16,4.5541300375,4.5537836375,0.3464,,
66,0.108995,0.575056,0,240822.255,2.008,13.611,16.412,-0.027,32.031,35,4.5549485249999995,4.5545781624999995,0.3704,147665.388,
67,0.088788,0.416828,0,63157.692,1.16,18.274,11.902,-0.051,31.336,35,4.6688380249999994,4.66814675,0.6913,47412.499,
68,0.138871,0.61776,0,107669.085,2.091,9.317,12.967,-0.048,24.375,28,4.6700447875,4.66939435,0.6504,75687.677,
69,0.209081,0.679555,0,315884.207,11.199,25.258,42.364,-0.122,78.821,89,4.837246575,4.8355872,1.6594,316819.617,37949.091
70,0.095948,0.84473,0,274173.178,2.747,5.263,25.885,-0.052,33.895,39,4.8386435625,4.8379413625,0.7022,227473.933,
71,0.060723,0.580816,0,104000.881,1.276,15.164,19.735,-0.058,36.175,41,4.839977,4.839180649999999,0.7963,74638.432,
72,0.117158,0.697208,0,77466.248,1.011,3.747,7.618,-0.018,12.376,14,4.8407314249999995,4.840490787499999,0.2406,,
73,0.11661,0.921076,0,70560.637,1.004,0.737,7.603,-0.018,9.344,11,4.9836939,4.9834438125,0.2501,,
74,0.254442,0.80019,0,100106.138,3.423,3.36,10.031,-0.045,16.814,20,5.0290381375,5.028428187499999,0.61,48485.986,
75,-0.080926,0.672112,0,70162.221,-1.041,6.274,13.902,-0.051,19.136,23,5.0351275625,5.03443635,0.6912,71097.631,
76,-0.162364,0.757207,0,44607.847,-1.309,2.586,9.373,-0.029,10.649,13,5.035181425,5.0347866875,0.3947,45543.257,
77,0.262749,0.426897,0,172914.844,4.942,25.251,13.867,0.948,44.061,49,5.1088426,5.108129425,0.7132,56582.899,
78,-0.07747,0.973258,0,111254.025,-1.383,0.49,19.229,-0.036,18.337,22,5.1227328624999995,5.1222474125,0.4854,111906.958,
79,-0.007555,0.774902,0,130036.313,-0.112,4.313,14.961,-0.048,19.163,23,5.1944404125,5.193786462499999,0.6539,130971.723,
80,-0.071826,0.827788,0,159051.607,-0.803,2.325,11.979,-0.047,13.501,17,5.2070272875,5.2063843875,0.6429,114606.283,
81,0.110363,0.643666,0,48249.75,0.923,4.628,7.437,-0.026,12.988,15,5.224532075,5.2241776374999995,0.3544,,
82,0.166101,1.078765,0,156482.458,1.583,-0.696,7.947,-0.049,8.834,12,5.62514415,5.6244813375,0.6628,,
83,0.127296,0.586205,0,83083.524,2.057,11.407,14.102,0.958,27.566,32,5.671892925,5.6713277625,0.5652,61765.448,
84,0.03811,0.721554,0,61399.539,0.447,4.527,11.285,-0.033,16.259,19,5.6762457,5.6757954999999995,0.4502,62334.949,
85,0.238103,1.052098,0,44656.49,1.992,-0.414,6.373,-0.029,7.951,10,5.682979125,5.6825845625,0.3946,,
86,0.111235,0.597976,0,82786.831,1.4,8.464,11.189,-0.037,21.054,24,5.68774295,5.6872325875,0.5104,64431.876,
87,0.05888,0.592643,0,98870.417,0.658,7.676,10.51,-0.023,18.844,21,5.7744879875,5.7741797375,0.3082,85616.998,
88,0.086324,0.93993,0,44996.295,0.791,0.586,8.373,-0.029,9.75,12,5.8224883875,5.8220937374999995,0.3946,,
89,0.025702,1.035442,0,98710.034,0.501,-0.667,18.991,-0.047,18.824,23,5.899882562499999,5.89924705,0.6355,99645.444,
90,-0.147803,1.038086,0,85642.661,-2.088,-0.518,16.216,-0.036,13.609,17,5.90168805,5.901194325,0.4937,86578.071,
91,-0.021349,1.046924,0,48787.079,-0.176,-0.37,8.44,-0.026,7.893,10,5.909148425,5.9087956375,0.3528,,
92,0.068023,0.945827,0,69702.858,0.683,0.575,9.357,-0.03,10.615,13,5.9110818125,5.9106770375,0.4048,59550.365,
93,-0.066557,0.965089,0,65772.053,-0.887,0.482,14.217,1.964,13.812,19,5.9117324875,5.911239237499999,0.4932,66707.463,
94,0.03533,1.04704,0,110470.597,0.411,-0.522,11.21,0.963,11.099,15,5.9120831874999995,5.911585887499999,0.4973,61834.509,
95,0.132206,0.613108,0,113481.322,2.537,12.111,16.654,-0.062,31.302,36,5.9625422875,5.9616950875,0.8472,81777.555,
96,0.43079,0.474277,0,73693.944,4.138,10.648,5.468,-0.025,20.255,22,6.0870828625,6.086747937499999,0.3349,,
97,0.057205,0.52601,0,132383.498,1.821,28.689,30.016,-0.092,60.526,68,6.09358215,6.092333024999999,1.2491,98208.944,
98,0.037093,0.608902,0,129271.964,0.867,15.018,22.515,-0.069,38.4,44,6.0977305875,6.0967955125,0.9351,130207.374,
99,-0.157955,0.929405,0,45398.374,-1.285,0.618,9.422,-0.027,8.755,11,6.1147447999999995,6.1143809875,0.3638,46333.784,
100,-0.062764,0.693934,0,63571.466,-0.781,5.49,13.228,-0.036,17.937,21,6.170031525,6.169545575,0.486,48643.193,
101,0.17211,0.870907,0,61875.523,1.703,1.467,8.194,-0.037,11.364,14,6.174543475,6.174035787499999,0.5077,,
102,0.084826,1.041393,0,148241.854,2.0,-0.937,21.582,-0.066,22.645,28,6.19818775,6.1972949,0.8928,128360.896,
103,-0.086672,0.857104,0,210596.46,-1.76,3.386,22.071,-0.043,23.697,28,6.2852800375,6.284695425,0.5846,210542.913,
104,0.110848,0.643767,0,50925.387,0.929,4.636,7.45,-0.025,13.014,15,6.366244549999999,6.365898,0.3465,,
105,0.177213,0.677715,0,60642.453,2.418,6.487,11.224,-0.036,20.129,23,6.3666339,6.36614555,0.4884,44564.394,
106,0.107845,0.761697,0,44580.096,0.891,2.585,7.373,-0.029,10.85,13,6.3669794625,6.366584625,0.3948,,
107,0.031939,0.559094,0,435232.745,0.819,20.224,24.827,-0.054,45.87,51,6.3685835625,6.3678448125,0.7387,409987.22,
108,-0.091221,0.41281,0,84884.059,-1.489,23.211,17.807,-0.055,39.53,44,6.5126370625,6.5118858125,0.7512,79016.191,
109,0.125772,0.536585,0,216204.887,10.011,68.744,69.587,-0.158,148.343,163,6.5146909,6.5125422375,2.1487,192999.678,27582.548
110,0.062441,0.953306,0,72365.084,0.614,0.481,9.215,-0.036,10.311,13,6.515983987499999,6.5154900499999995,0.4939,36025.527,
111,0.159399,0.601306,0,216279.666,12.453,51.799,65.669,-0.154,129.921,144,6.522135125,6.52003825,2.0969,134495.008,30954.57
112,0.030503,0.850832,0,221958.885,0.604,3.472,19.202,-0.037,23.278,27,6.522587724999999,6.5220851374999995,0.5026,222894.295,
113,-0.003827,0.966539,0,276343.35,-0.129,1.163,33.734,-0.059,34.769,41,6.5424849125,6.541688037499999,0.7969,241019.693,
114,-0.004829,1.04412,0,198734.109,-0.072,-0.633,15.043,-0.044,14.338,18,6.5434949875,6.542892425,0.6026,90286.478,
115,0.452765,0.978555,0,121844.689,6.594,0.319,7.97,-0.048,14.883,18,6.68577725,6.6851287374999995,0.6485,,
116,-0.036784,1.037249,0,57508.139,-0.371,-0.362,10.452,-0.025,9.719,12,6.6864886875,6.6861438374999995,0.3448,55391.714,
117,-0.155795,1.046855,0,108030.747,-2.037,-0.585,15.114,-0.041,12.492,16,6.701688787499999,6.7011312625,0.5575,108966.157,
118,0.131415,0.581466,0,115710.129,1.56,8.544,10.311,-0.032,20.415,23,6.8838298374999995,6.883395837499999,0.434,62207.51,
119,0.11032,0.440238,0,48025.177,0.922,10.627,7.436,-0.026,18.985,21,6.885134775,6.884779637499999,0.3551,,
120,0.224105,0.471861,0,215534.169,6.828,34.1,23.639,-0.063,64.567,70,6.885848087499999,6.88499125,0.8568,114543.031,20188.794
121,-0.022694,0.519436,0,44729.644,-0.187,7.616,8.418,-0.027,15.847,18,6.886544274999999,6.8861780999999995,0.3662,,
122,-0.025934,0.64029,0,43712.34,-0.212,4.582,8.368,-0.029,12.738,15,6.886942212499999,6.886544187499999,0.398,,
123,0.144578,0.52245,0,269469.447,6.734,42.575,39.843,0.9,89.152,99,6.88814735,6.886789612499999,1.3577,207493.656,23700.821
124,0.265406,0.515588,0,125990.303,5.708,20.206,15.798,-0.056,41.712,46,6.8907445124999995,6.8899879125,0.7566,91869.601,
125,0.085764,0.940707,0,70236.593,0.784,0.576,8.359,-0.03,9.719,12,6.891697825,6.891294224999999,0.4036,,
126,0.173001,0.703756,0,295289.183,6.181,15.039,29.547,0.933,50.767,58,6.893496337499999,6.892581412499999,0.9149,222736.929,19933.248
127,0.004838,0.9711,0,74445.58,0.069,0.422,14.126,-0.04,14.617,18,6.960285375,6.959735224999999,0.5502,73750.091,
128,-0.04233,0.866786,0,91249.141,-0.886,3.216,21.815,-0.055,24.145,29,6.964337899999999,6.9635915624999996,0.7463,79158.566,
129,0.33363,0.546249,0,103471.61,4.609,11.475,9.205,-0.037,25.288,28,7.0832364125,7.0827359125,0.5005,36398.362,
130,0.325524,0.551893,0,115579.218,5.395,13.457,11.179,-0.038,30.031,33,7.1306954375,7.1301784249999995,0.517,60319.183,
131,0.205291,1.041926,0,64993.918,1.92,-0.376,7.431,0.974,8.974,12,7.197539487499999,7.1971811,0.3584,,
132,-0.025405,0.593811,0,45134.301,-0.208,5.588,8.376,-0.029,13.756,16,7.200582799999999,7.200189937499999,0.3929,,
133,0.32551,0.533472,0,321691.039,5.367,14.419,11.121,-0.041,30.907,34,7.314636875,7.3140835125,0.5534,154395.084,
134,0.385238,0.693278,0,43930.483,3.984,4.576,6.358,-0.03,14.919,17,7.3146866,7.314282625,0.404,,
135,0.264383,0.695018,0,118849.28,5.1,8.465,14.191,-0.037,27.756,31,7.315146449999999,7.314636875,0.5096,64066.15,
136,0.280561,1.054939,0,54629.31,2.812,-0.522,7.21,-0.037,9.5,12,7.3995857375,7.3990885749999995,0.4972,,
137,0.012202,1.025995,0,122868.097,0.274,-0.568,22.141,-0.04,21.846,26,7.404980549999999,7.4044396125,0.5409,123803.507,
138,0.385844,0.413302,0,47289.448,3.949,14.528,6.285,-0.033,24.762,27,7.4099889999999995,7.4095390375,0.45,,
139,0.364853,0.507864,0,63900.741,4.684,12.441,8.154,-0.039,25.28,28,7.4102808875,7.4097485625,0.5323,,
140,0.543267,0.557486,0,48237.669,5.186,7.577,4.36,-0.03,17.122,19,7.4103921375,7.4099889999999995,0.4031,,
141,0.114119,0.620928,0,103489.168,3.883,20.772,30.142,-0.086,54.797,62,7.4112974375,7.4101277125,1.1697,104424.577,
142,0.365303,1.052103,0,43492.928,3.089,-0.419,5.366,-0.029,8.036,10,7.420577525,7.420178675,0.3988,,
143,0.203987,0.584383,0,79495.983,3.775,13.16,14.73,-0.059,31.665,36,7.438388649999999,7.437588874999999,0.7998,60547.579,
144,0.070169,0.64335,0,68801.334,0.71,5.612,9.413,-0.027,15.736,18,7.438996512499999,7.43862705,0.3695,44764.956,
145,0.107822,0.839049,0,44479.772,0.891,1.585,7.372,-0.029,9.848,12,7.4391829875,7.4387877875,0.3952,,
146,-0.006562,0.817131,0,98089.358,-0.098,3.333,14.991,-0.047,18.226,22,7.4400779875,7.439442649999999,0.6353,91828.676,
147,0.018593,0.695707,0,95081.86,0.228,5.367,12.042,-0.044,17.637,21,7.4509392125,7.4503360999999995,0.6031,80169.45,
148,0.311554,0.685267,0,191063.664,7.532,11.103,16.643,-0.063,35.279,40,7.53108945,7.530235325,0.8541,122828.453,21968.359
149,-0.01644,0.923259,0,123237.693,-0.157,0.792,9.685,-0.015,10.321,12,7.80893955,7.808741449999999,0.1981,91869.601,
150,-0.017757,0.786307,0,85485.048,-0.276,4.227,15.831,-0.054,19.782,24,7.8211297375,7.820393675,0.7361,68633.294,
151,0.237976,0.763985,0,43308.387,1.988,2.581,6.365,-0.029,10.934,13,7.821245387499999,7.820845837499999,0.3995,,
152,0.149665,0.397132,0,66560.876,3.253,32.998,18.484,-0.07,54.735,60,8.0413382125,8.0403835375,0.9547,61528.028,
153,0.264756,0.5021,0,139856.67,5.636,21.108,15.65,1.938,42.394,49,8.0427831125,8.0419334,0.8497,50195.782,
154,0.091153,0.622586,0,57311.7,0.852,5.669,8.499,-0.023,15.019,17,8.122697875,8.1223821625,0.3157,,
155,-0.036132,0.512811,0,59109.529,-0.326,8.563,9.339,-0.031,17.577,20,8.1263952,8.1259793,0.4159,40318.414,
156,0.281656,0.554261,0,78571.027,4.334,12.374,11.053,1.956,27.761,33,8.1274418375,8.126845549999999,0.5963,43940.575,
157,0.099123,0.577333,0,471199.415,3.271,24.162,29.732,-0.059,57.165,63,8.1289459375,8.128147575,0.7984,472134.825,
