,E,S,bg_a,bg_aa,bg_d,bp,i_end,i_start,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms
0,0.659497,0.686847,2.802,2.346,2.056,0,319,266,21.198,14.654,10.944,-0.166,46.796,54,0.0831037875,0.07975587499999999,3.3479
1,0.485818,0.628931,2.852,2.387,2.092,0,783,678,30.148,36.613,31.908,-0.169,98.668,106,0.1677442125,0.164336825,3.4074
2,0.168616,0.934351,4.362,3.65,3.199,0,1525,1479,5.638,2.35,27.801,-0.259,35.789,47,0.36710309999999996,0.36189262499999997,5.2105
3,0.442026,0.584341,2.263,1.894,1.66,0,1702,1644,13.737,22.106,17.34,-0.134,53.182,59,0.38680349999999997,0.38409951249999996,2.704
4,0.207736,0.991912,3.17,2.653,2.325,0,2431,2381,8.83,0.347,33.675,-0.188,42.851,51,0.600688025,0.5969007,3.7873
5,0.516722,0.475046,4.282,3.584,3.141,0,2854,2727,28.718,61.416,26.859,-0.254,116.993,128,0.713202025,0.7080866375,5.1154
6,0.2494,0.697368,4.009,3.355,2.941,0,3132,3071,8.991,15.645,27.059,-0.238,51.695,62,0.7741909874999999,0.7694017,4.7893
7,0.336176,0.373689,4.528,3.789,3.321,0,3644,3550,10.472,52.211,20.679,-0.269,83.362,95,0.8537054125,0.8482966,5.4088
8,0.694424,0.471493,1.631,1.365,1.196,0,4607,4507,31.369,50.635,13.804,0.903,95.807,101,1.13748695,1.1355383875,1.9486
9,0.283002,0.597471,3.853,3.225,2.826,0,5049,4986,9.147,21.775,23.174,-0.229,54.095,64,1.2556895,1.2510863125,4.6032
10,0.589472,0.494145,3.852,3.224,2.825,0,5702,5568,36.148,62.776,25.175,0.771,124.099,135,1.4407972249999998,1.436195825,4.6014
11,0.167836,1.002317,3.688,3.087,2.705,0,7290,7243,6.312,-0.087,31.295,0.781,37.52,48,1.8753942124999998,1.8709881124999999,4.4061
12,0.209166,0.270679,2.891,2.419,2.12,0,7539,7406,7.109,91.581,26.88,0.828,125.57,134,1.8994014375,1.8959482125,3.4532
13,0.402509,0.500494,6.515,5.453,4.778,0,7993,7816,32.485,80.547,48.222,-0.387,161.254,178,1.9780885124999998,1.9703058125,7.7827
14,-0.016384,0.971312,2.502,2.094,1.835,0,8259,8222,-0.502,0.906,31.165,-0.149,31.568,38,2.0391408875,2.0361515,2.9894
15,0.018205,1.025228,2.927,2.45,2.147,0,10789,10725,1.073,-1.45,57.853,-0.174,57.476,65,2.8273487999999998,2.8238518249999998,3.497
16,0.465809,0.438414,3.397,2.843,2.492,0,11174,11036,26.603,73.157,30.508,-0.202,130.268,139,2.9125046875,2.908446475,4.0582
17,0.593873,0.557983,3.387,2.835,2.484,0,12395,12310,25.613,34.165,17.516,-0.201,77.294,86,3.3233864124999997,3.3193401125,4.0463
18,0.538019,0.523746,2.855,2.39,2.094,0,12670,12507,44.145,74.61,37.906,-0.17,156.661,164,3.3526528,3.349241825,3.411
19,0.399487,0.718434,2.732,2.286,2.004,0,14301,14193,29.268,28.714,43.996,-0.162,101.978,109,3.8660543625,3.8627910125,3.2634
20,0.632622,0.579613,2.303,1.927,1.689,0,15894,15789,36.697,42.073,21.311,-0.137,100.081,106,4.314439849999999,4.3116888,2.751
21,0.444458,0.440003,3.385,2.833,2.483,0,16097,15989,19.615,56.167,24.517,-0.201,100.298,109,4.338501425,4.334457125,4.0443
22,0.405927,0.497028,3.844,3.218,2.82,0,16723,16639,15.156,37.782,22.18,-0.228,75.118,85,4.5198880875,4.5152955,4.5926
