,E,S,bg_a,bg_aa,bg_d,bp,i_end,i_start,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms
0,0.495162,0.620717,1.981,1.658,1.453,0,770,678,27.019,33.342,27.547,-0.118,87.908,93,0.16670346249999998,0.164336825,2.3666
1,0.130834,0.989612,2.007,1.68,1.472,0,1519,1484,3.993,0.32,26.528,-0.119,30.842,36,0.3656366625,0.3632393,2.3974
2,0.538721,0.713506,1.018,0.852,0.746,0,1691,1640,18.982,14.148,16.254,-0.06,49.384,52,0.38495465,0.3837389,1.2158
3,0.543999,0.4783,2.668,2.233,1.957,0,2858,2774,20.332,40.767,17.043,-0.158,78.143,85,0.71363895,0.7104522375,3.1867
4,0.273861,0.713707,2.512,2.102,1.842,0,3127,3073,9.488,13.898,25.158,-0.149,48.543,55,0.772940675,0.7699399124999999,3.0008
5,0.738538,0.459655,2.211,1.851,1.622,0,4614,4497,37.789,60.149,13.378,0.869,111.317,118,1.1376931875,1.135051875,2.6413
6,0.576208,0.505241,3.226,2.7,2.366,0,5681,5568,30.774,52.3,22.634,-0.192,105.708,114,1.4400495375,1.436195825,3.8537
7,0.035297,1.011354,1.967,1.647,1.443,0,10789,10728,2.033,-0.647,55.557,-0.117,56.943,62,2.8273487999999998,2.82499865,2.3502
8,0.505305,0.450645,1.507,1.261,1.105,0,11171,11043,28.493,68.739,27.895,-0.09,125.126,129,2.9110958625,2.9092953374999997,1.8005
9,0.625446,0.65065,1.723,1.442,1.264,0,12388,12320,26.277,22.558,15.736,-0.102,64.572,69,3.322148,3.3200899125,2.0581
10,0.544802,0.524577,2.645,2.214,1.94,0,12670,12509,44.355,73.786,37.06,-0.157,155.201,162,3.3526528,3.3494931125,3.1597
11,0.429728,0.696877,2.437,2.04,1.788,0,14311,14197,32.563,32.96,43.212,-0.145,108.735,115,3.8665035,3.8635916624999997,2.9118
12,0.637439,0.565153,2.347,1.964,1.721,0,15888,15784,35.653,43.036,20.279,-0.139,98.968,105,4.3136022999999994,4.310798999999999,2.8033
13,0.479338,0.572988,2.298,1.923,1.685,0,17219,17146,18.702,29.077,20.315,-0.136,68.094,74,4.6243981624999995,4.621653387499999,2.7448
14,0.095116,0.987663,1.718,1.438,1.26,0,18585,18536,4.282,0.562,40.74,-0.102,45.585,50,5.0584466875,5.056394725,2.052
15,0.510692,0.608423,3.102,2.596,2.275,0,18931,18757,51.898,65.404,49.725,-0.184,167.026,175,5.129893425,5.1261874249999995,3.706
16,0.575661,0.561382,1.514,1.267,1.111,0,21119,21062,17.486,23.733,12.889,-0.09,54.108,58,5.8125470875,5.8107381875,1.8089
17,0.05686,1.009601,1.662,1.391,1.219,0,21408,21363,2.338,-0.391,38.781,0.901,40.728,46,5.8952379,5.893252449999999,1.9854
18,0.434887,0.752704,1.927,1.613,1.413,0,22873,22823,15.073,11.387,19.587,-0.114,46.047,51,6.353494362499999,6.351192375,2.302
19,0.61975,0.797796,0.962,0.805,0.706,0,24463,24421,20.038,8.195,12.294,-0.057,40.527,43,6.826096825,6.824947325,1.1495
20,0.13127,1.002568,1.35,1.13,0.99,0,24962,24909,6.65,-0.13,44.01,-0.08,50.53,54,7.00380035,7.0021877875,1.6126
21,0.080708,1.020075,3.181,2.663,2.333,0,25133,25041,6.819,-1.663,77.667,1.811,82.823,93,7.0383869875,7.0345864874999995,3.8005
22,0.27482,0.650226,2.885,2.415,2.116,0,25345,25253,15.115,29.585,39.884,0.829,84.583,93,7.092189974999999,7.088743024999999,3.447
23,0.596384,0.605019,1.423,1.191,1.043,0,26258,26190,23.577,25.809,15.957,-0.085,65.343,69,7.3470560874999995,7.34535655,1.6995
24,0.175454,0.932653,1.663,1.392,1.22,0,26660,26618,6.337,2.608,29.78,-0.099,38.725,43,7.470993624999999,7.4690068,1.9868
25,0.031084,1.017754,2.722,2.278,1.997,0,27630,27552,2.278,-1.278,71.003,-0.162,72.003,79,7.828440212499999,7.8251883125,3.2519
26,0.100503,0.970129,1.765,1.477,1.294,0,27750,27662,8.235,2.523,73.706,-0.105,84.464,89,7.833899574999999,7.8317914375,2.1081
27,0.483969,0.535039,1.972,1.65,1.446,0,28246,28153,23.028,41.35,24.554,-0.117,88.932,94,7.953103737499999,7.9507481375,2.3556
28,0.032902,1.003424,2.567,2.149,1.883,0,30010,29959,1.433,-0.149,42.117,1.848,43.401,52,8.58875415,8.5856873875,3.0668
29,0.311078,0.704777,1.594,1.334,1.169,0,31170,31124,9.406,12.666,20.831,-0.095,42.903,47,8.9437,8.941795825,1.9042
30,0.419499,0.53346,3.6,3.013,2.641,0,31514,31285,49.4,102.987,68.359,-0.214,220.746,230,8.967048475,8.9627477625,4.3007
31,0.4943,0.502097,1.832,1.533,1.344,0,32852,32763,21.168,42.467,21.656,-0.109,85.291,90,9.3978942,9.3957058875,2.1883
32,0.579722,0.5067,3.142,2.63,2.305,0,34681,34511,47.858,80.37,34.695,-0.187,162.923,171,9.998256775,9.99450315,3.7536
33,0.39751,0.772621,1.599,1.338,1.173,0,36680,36630,14.401,10.662,21.827,-0.095,46.89,51,10.6940970875,10.6921871375,1.9099
34,0.529599,0.532762,2.012,1.684,1.476,0,37719,37604,30.988,51.316,27.524,0.88,109.829,116,11.0790565875,11.0766531375,2.4034
35,0.201332,1.013421,1.764,1.476,1.294,0,39166,39127,7.236,-0.476,28.706,-0.105,35.467,40,11.526556187499999,11.5244494375,2.1068
36,0.284705,0.793212,0.92,0.77,0.675,0,39547,39501,10.08,9.23,25.325,-0.055,44.635,47,11.619099862499999,11.6180009125,1.099
37,0.069545,0.838578,2.266,1.896,1.662,0,43682,43596,4.734,13.104,63.338,-0.135,81.176,87,13.0116511,13.0089441875,2.7069
38,0.439778,0.680504,4.808,4.024,3.527,0,45744,45595,41.192,43.976,52.473,-0.286,137.641,150,13.538043024999999,13.532299075,5.7439
39,0.341915,0.415619,3.06,2.561,2.244,0,45965,45853,14.94,61.439,28.756,-0.182,105.135,113,13.5617436625,13.558088587499999,3.6551
40,0.507815,0.510493,1.892,1.583,1.388,0,46232,46166,16.108,30.417,15.612,-0.112,62.137,67,13.6320470625,13.6297871375,2.2599
41,0.478205,0.488428,1.791,1.499,1.314,0,46603,46530,16.209,35.501,17.686,-0.106,69.395,74,13.756586225,13.754446074999999,2.1401
42,0.404439,0.831717,1.473,1.233,1.08,0,47906,47863,13.527,6.767,19.92,-0.087,40.215,44,14.168651662499999,14.16689235,1.7593
43,0.621743,0.483396,1.849,1.547,1.356,0,50066,49922,42.151,72.453,25.644,-0.11,140.248,145,14.764452687499999,14.7622443125,2.2084
44,0.20721,0.932522,1.757,1.471,1.289,0,50577,50536,7.243,2.529,27.711,-0.104,37.483,42,14.9083437375,14.9062445625,2.0992
45,0.051575,0.961969,2.376,1.988,1.743,0,50675,50616,2.624,2.012,48.257,0.859,52.893,60,14.9169953375,14.9141572,2.8381
