,E,S,bg_a,bg_aa,bg_d,bp,i_end,i_start,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms
0,0.170407,0.628704,1.76,1.976,3.015,0,165,73,9.24,32.024,44.985,-0.141,86.249,93,0.017965725,0.01606355,1.9022
1,0.200938,0.509336,1.675,1.881,2.87,0,300,223,7.325,35.119,29.13,-0.134,71.575,78,0.03244845,0.030638212499999998,1.8102
2,0.182261,0.963196,1.219,1.369,2.088,0,2007,1959,7.781,1.631,34.912,-0.097,44.324,49,0.3909935625,0.38967607499999996,1.3175
3,0.17612,0.836531,1.046,1.175,1.793,0,2163,2105,7.954,8.825,37.207,0.916,53.986,59,0.4135526,0.41242162499999996,1.131
4,0.210112,0.762795,0.897,1.007,1.536,0,2219,2166,8.103,11.993,30.464,-0.072,50.56,54,0.4148894125,0.41392025,0.9692
5,0.203959,0.971394,1.295,1.454,2.219,0,4487,4428,10.705,1.546,41.781,0.897,54.031,60,0.8363752249999999,0.834975275,1.3999
6,0.093958,0.969293,0.829,0.931,1.42,0,4880,4843,3.171,1.069,30.58,-0.066,34.82,38,0.9207504999999999,0.9198545625,0.8959
7,0.179181,0.73129,1.734,1.947,2.971,0,16520,16436,10.266,21.053,47.029,-0.139,78.348,85,3.5837705874999997,3.5818963999999998,1.8742
8,0.257316,0.702976,1.762,1.979,3.02,0,21672,21582,15.238,25.021,43.98,-0.141,84.239,91,4.8375009625,4.83559595,1.905
9,0.162445,0.81816,0.853,0.958,1.461,0,21715,21674,5.147,7.042,26.539,-0.068,38.728,42,4.8386523125,4.837730512499999,0.9218
10,0.128151,0.459611,1.891,2.123,3.24,0,28314,28221,5.109,46.877,34.76,-0.151,86.746,94,6.0935909,6.0915471125,2.0438
11,0.168671,0.495458,1.689,1.896,2.894,0,29797,29716,6.311,38.104,31.106,-0.135,75.521,82,6.3689243875,6.3670988875,1.8255
12,0.172563,0.531568,2.822,3.169,4.835,0,30680,30472,18.178,92.831,87.165,-0.225,198.174,209,6.51469965,6.511649449999999,3.0502
13,0.198421,0.659863,2.543,2.856,4.357,0,30881,30716,20.457,53.144,82.643,-0.203,156.244,166,6.522596474999999,6.5198476874999995,2.7488
14,0.096033,0.963976,0.604,0.679,1.035,0,30993,30955,3.396,1.321,31.965,-0.048,36.682,39,6.5423499624999994,6.541696787499999,0.6532
15,0.252603,0.452174,1.946,2.185,3.334,0,32683,32571,12.054,57.815,35.666,-0.155,105.535,113,6.886606275,6.8845030125,2.1033
16,0.217401,0.555824,1.483,1.665,2.541,0,32782,32681,11.517,42.335,41.459,0.882,95.31,102,6.8881561,6.886552937499999,1.6032
17,0.236275,0.68192,0.871,0.979,1.493,0,32926,32866,9.129,18.021,29.507,0.93,56.657,61,6.893532175,6.8925901624999995,0.942
18,0.313004,0.560357,1.512,1.698,2.591,0,35102,35026,12.488,31.302,27.409,-0.121,71.198,77,7.3154552,7.3138204625,1.6347
19,0.227396,0.539389,2.118,2.378,3.629,0,35651,35547,11.882,44.622,40.371,-0.169,96.875,105,7.4113819375,7.4090926375,2.2893
20,0.224818,0.494022,1.748,1.963,2.996,0,35864,35793,7.252,33.037,25.004,-0.14,65.293,72,7.4392152875,7.4373254875,1.8898
21,0.17579,0.579951,0.948,1.065,1.624,0,39186,39124,6.052,24.935,28.376,-0.076,59.363,63,8.1289546875,8.12792995,1.0247
22,0.029261,1.029577,0.933,1.048,1.599,0,39472,39433,1.067,-1.048,35.401,0.925,35.421,40,8.1756492125,8.174640775,1.0084
23,0.228067,0.631495,1.105,1.241,1.894,0,41742,41677,8.895,22.759,30.106,-0.088,61.76,66,8.682115925,8.6809213375,1.1946
