Sample,0,1,2,3,4,5,6,7
7d,0.866766,0.872245,0.838805,0.84337,0.835858,0.858535,0.84036,0.846814
12d,0.58912,0.580325,0.572867,0.574415,0.563134,0.555029,0.565811,0.563246
17d,0.297846,0.287886,0.276148,0.279504,0.283104,0.284872,0.271156,0.271861
22d,0.133968,0.131691,0.124933,0.126694,0.119514,0.124942,0.122458,0.12983
27d,0.087183,0.091312,0.079124,0.08268,0.077164,0.084574,0.077923,0.082638
