,E,S,bp,max_rate,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms,max_rate_Dem,max_rate_Aem
0,0.630688,0.623516,0,249687.417,18.381,17.598,10.763,-0.021,46.742,49,0.14324742499999998,0.14268966249999998,0.5578,40197.798,141858.051
1,0.718393,0.703685,0,432801.235,69.798,40.913,27.361,-0.058,138.072,144,0.14509619999999998,0.1435891,1.5071,108031.967,236951.005
2,0.553665,0.726426,0,104674.19,9.562,6.504,7.708,-0.026,23.774,26,0.3706298875,0.3699424125,0.6875,,45799.322
3,0.911253,0.77536,0,44651.728,8.531,2.712,0.831,-0.015,12.074,13,0.3707810625,0.3703823125,0.3987,,
4,0.725186,0.791259,0,141721.263,17.473,6.356,6.621,0.966,30.451,34,0.37202749999999996,0.37113522499999996,0.8923,,95258.921
5,1.017665,0.71817,0,45875.918,9.635,3.716,-0.167,-0.015,13.184,14,0.42743971249999996,0.4270454625,0.3942,,46300.145
6,0.005805,1.019489,0,142817.665,0.133,-0.437,22.743,-0.023,22.438,26,0.5400365375,0.5394303375,0.6062,141451.189,
7,0.849078,0.721614,0,149374.169,10.513,4.777,1.869,-0.012,17.159,18,0.7374486499999999,0.7371391625,0.3095,,58198.917
8,0.57923,0.83653,0,59776.487,5.348,1.804,3.885,-0.01,11.037,12,0.7617482999999999,0.7614768875,0.2714,,
9,0.746427,0.561538,0,87238.946,8.323,8.707,2.827,-0.016,19.857,21,0.83153555,0.8311289,0.4066,,
10,0.745311,0.469822,0,80126.84,8.466,12.818,2.893,-0.01,24.177,25,0.8322850875,0.8320327249999999,0.2524,,
11,0.53428,0.535414,0,62627.768,7.733,12.559,6.741,0.976,27.034,30,0.8344404875,0.8338298,0.6107,,
12,0.802227,0.421596,0,46125.082,7.436,12.716,1.833,-0.015,21.985,23,0.8473373,0.8469439375,0.3934,,
13,0.6823,0.679297,0,63366.227,8.031,5.557,3.739,-0.024,17.327,19,0.8496979375,0.8490835124999999,0.6144,,
14,0.802194,0.713788,0,46671.043,7.437,3.718,1.834,-0.015,12.989,14,0.8500303124999999,0.8496388625,0.3914,,
15,0.55142,0.78051,0,218237.938,24.056,12.268,19.57,0.961,55.894,61,1.0443443875,1.0433298375,1.0145,78636.922,85286.158
16,0.687553,0.653103,0,123706.295,21.126,16.321,9.6,-0.036,47.047,50,1.04528615,1.0443443875,0.9418,34991.633,65464.178
17,0.041482,1.030626,0,83052.42,0.468,-0.335,10.803,-0.018,10.936,13,1.135695275,1.1352310125,0.4643,43240.916,
18,-0.026762,1.030603,0,49273.54,-0.231,-0.256,8.849,-0.014,8.363,10,1.1401343375,1.1397795625,0.3548,,
19,-0.039137,1.031241,0,47214.927,-0.37,-0.287,9.831,-0.015,9.175,11,1.140439925,1.1400426125,0.3973,46003.049,
20,-0.070481,0.956108,0,75559.386,-0.973,0.634,14.785,-0.02,14.445,17,1.1409443875,1.1404370875,0.5073,60808.073,
21,0.938031,0.886673,0,78170.969,12.523,1.706,0.827,-0.016,15.057,16,1.2569933,1.2565862749999999,0.407,,78595.196
22,0.231011,0.831026,0,75448.519,2.072,1.823,6.896,-0.009,10.791,12,1.6340862374999998,1.6338415,0.2447,,
23,0.721381,0.568563,0,65687.485,7.336,7.717,2.833,-0.015,17.886,19,1.8904308125,1.8900379125,0.3929,,
24,0.820251,0.789286,0,124592.814,17.0,5.533,3.725,-0.025,26.259,28,2.0840427125,2.0833955875,0.6471,,88832.144
25,-0.144647,1.022771,0,260581.546,-2.374,-0.365,18.785,-0.02,16.046,19,2.09153655,2.0910300625,0.5065,261548.757,
26,-0.052182,0.941265,0,156555.255,-0.586,0.701,11.824,-0.016,11.939,14,2.0970932374999998,2.0966791,0.4141,157522.466,
27,0.653799,0.589429,0,51102.0,7.263,7.738,3.846,-0.014,18.847,20,2.3838925124999997,2.3835293374999997,0.3632,,
28,-0.032621,0.973558,0,79030.779,-0.623,0.519,19.717,-0.026,19.613,23,2.5613470625,2.560679725,0.6673,79997.99,
29,-0.021759,1.026409,0,55416.657,-0.189,-0.223,8.869,-0.012,8.456,10,2.5616380875,2.5613285125,0.3096,,
30,0.265341,0.954189,0,57681.85,3.535,0.64,9.788,-0.019,13.963,16,2.562082575,2.5615830749999997,0.4995,48928.025,
31,-0.03098,1.034166,0,46401.856,-0.265,-0.283,8.834,-0.015,8.285,10,2.6203900625,2.619997675,0.3924,,
32,-0.041691,1.025426,0,63294.23,-0.434,-0.258,10.848,-0.014,10.156,12,2.620685925,2.620327975,0.358,64261.441,
33,-0.158423,0.845678,0,46199.282,-1.481,1.706,10.827,-0.016,11.052,13,2.77644325,2.7760350375,0.4082,47166.493,
34,-0.159366,0.938044,0,58770.247,-1.623,0.673,11.808,-0.017,10.857,13,2.7767366375,2.7762828749999997,0.4538,59737.458,
35,-0.156083,0.830013,0,49657.457,-1.33,1.745,9.85,-0.014,10.265,12,2.7972406,2.7968870125,0.3536,50624.668,
36,0.71049,0.60112,0,279803.641,52.23,48.78,21.282,-0.065,122.292,128,2.9892390124999997,2.9875476499999998,1.6914,33640.069,184217.974
37,0.789549,0.76176,0,181727.303,14.033,5.559,3.741,-0.024,23.332,25,3.027246075,3.0266344,0.6117,,75743.804
38,-0.040765,1.024677,0,71451.722,-0.425,-0.251,10.852,-0.013,10.176,12,3.0494444124999998,3.0490963124999997,0.3481,53267.048,
39,0.166081,1.02531,0,320378.296,4.111,-0.611,20.641,-0.033,24.14,28,3.0501372124999997,3.0492902374999997,0.847,152393.347,
40,0.815642,0.663039,0,113201.221,12.142,7.565,2.744,-0.023,22.452,24,3.1845443749999998,3.183942025,0.6023,,58567.673
41,0.343854,1.030156,0,47181.726,3.064,-0.261,5.847,-0.014,8.65,10,3.1860915875,3.1857300124999997,0.3616,,
42,0.014733,0.955342,0,81392.161,0.191,0.606,12.768,-0.021,13.565,16,4.174591449999999,4.174044975,0.5465,82359.372,
43,0.653659,0.939522,0,135010.949,7.23,0.712,3.831,-0.015,11.772,13,4.2095948875,4.209195612499999,0.3993,,
44,0.697184,0.851493,0,215117.358,11.265,2.818,4.893,-0.01,18.977,20,4.2928802,4.2926281625,0.252,,127624.31
45,1.015731,0.793891,0,52421.73,10.641,2.72,-0.165,-0.015,13.196,14,4.2936325,4.293244025,0.3885,,52845.957
46,0.590484,0.658106,0,133658.151,9.693,8.528,6.723,-0.025,24.944,27,4.30018875,4.2995349375,0.6538,,35547.88
47,0.706494,0.881094,0,124617.619,9.316,1.78,3.87,-0.012,14.966,16,4.302142487499999,4.3018369375,0.3056,,67783.461
48,0.836844,0.663416,0,67737.964,9.46,5.735,1.844,-0.014,17.04,18,4.3048464125,4.3044797374999995,0.3667,,46147.041
49,0.786429,0.698086,0,79375.851,10.195,5.606,2.769,-0.021,18.57,20,4.4089786375,4.40843315,0.5455,,50699.859
50,0.530277,0.767258,0,297953.745,13.279,7.596,11.762,-0.022,32.637,35,4.4116379624999995,4.4110781,0.5599,60181.834,100410.898
51,0.80667,0.516939,0,286637.365,47.404,54.913,11.361,0.942,113.678,119,4.428683449999999,4.4271769625,1.5065,19535.23,167498.175
52,0.577257,0.458295,0,45347.772,5.233,10.714,3.832,-0.015,19.779,21,4.4297438,4.429347637499999,0.3962,,
53,0.690963,0.461848,0,49325.735,6.371,10.744,2.85,-0.014,19.965,21,4.4299384625,4.42958385,0.3546,,
54,0.861065,0.632382,0,91027.335,11.476,7.748,1.852,-0.013,21.076,22,4.4878816,4.487532075,0.3495,,80853.295
55,0.952425,0.679999,0,190282.716,15.396,7.607,0.769,-0.021,23.773,25,4.51669195,4.516147575,0.5444,,190706.943
56,0.74641,0.431279,0,53962.307,8.325,14.708,2.828,-0.016,25.862,27,4.5421966375,4.5417923625,0.4043,,
57,0.577319,0.351719,0,46419.708,5.236,16.717,3.834,-0.015,25.787,27,4.542339125,4.5419468,0.3923,,
58,0.682408,0.678319,0,83805.58,8.314,5.777,3.869,-0.012,17.96,19,4.544945475,4.544636962499999,0.3085,,
59,0.611712,0.724323,0,167607.77,19.917,12.392,12.643,-0.032,44.952,48,4.546237725,4.5453953375,0.8424,57641.46,92259.3
60,0.690879,1.019418,0,73602.703,6.47,-0.178,2.895,-0.01,9.187,10,4.613629725,4.613382425,0.2473,,
61,1.017631,0.520705,0,46075.743,9.636,8.716,-0.167,-0.015,18.185,19,4.910192175,4.9097986375,0.3935,,46499.97
62,0.838056,0.450357,0,54719.381,9.399,13.687,1.816,-0.017,24.902,26,4.9104795,4.9100462375,0.4333,,43443.309
63,0.911261,0.845385,0,44578.969,8.531,1.712,0.831,-0.015,11.074,12,4.912037574999999,4.91163855,0.399,,
64,0.539979,0.840111,0,232270.483,8.122,2.863,6.919,-0.007,17.904,19,5.0733273,5.073136825,0.1905,,
65,0.565981,0.854486,0,156594.245,8.876,2.671,6.806,-0.018,18.352,20,5.112393937499999,5.111937225,0.4567,,47936.281
66,-0.156794,1.031369,0,48753.512,-1.468,-0.285,10.833,-0.015,9.079,11,5.2910806875,5.290685874999999,0.3948,49720.723,
67,0.653818,0.622473,0,67603.819,7.268,6.742,3.848,-0.014,17.857,19,5.4566959125,5.4563377875,0.3581,,
68,0.463017,0.655318,0,48171.019,5.026,5.71,5.829,-0.015,16.566,18,5.4569893125,5.456587225,0.4021,,
69,0.595581,0.763907,0,141721.263,7.082,3.675,4.809,-0.017,15.566,17,5.45714645,5.4566959125,0.4505,,
70,0.556875,1.038242,0,52430.781,5.991,-0.396,4.767,-0.021,10.361,12,5.471545,5.470995725,0.5493,,
71,0.461246,0.455701,0,47677.028,4.14,10.72,4.835,-0.015,19.695,21,5.4981811625,5.497793124999999,0.388,,
72,0.27009,0.759524,0,263399.625,8.007,9.386,21.639,-0.033,39.033,43,5.9055868125,5.904736325,0.8505,169517.356,49705.79
73,0.114102,0.952803,0,75707.707,1.387,0.602,10.766,-0.021,12.755,15,6.035830825,6.035279075,0.5518,49354.104,
74,-0.051561,1.033475,0,55351.181,-0.53,-0.333,10.804,-0.018,9.942,12,6.0362921499999995,6.035830825,0.4613,52285.376,
75,0.034876,1.036814,0,50363.374,0.389,-0.396,10.767,-0.021,10.76,13,6.0447797375,6.0442306375,0.5491,50514.964,
76,0.764678,0.798749,0,166719.936,30.983,10.209,9.535,-0.042,50.726,54,6.124941574999999,6.1238446125,1.097,18716.819,128561.225
77,0.608243,0.843657,0,222228.408,9.111,2.776,5.868,-0.012,17.755,19,6.3036416875,6.303331024999999,0.3107,,88756.608
78,0.80517,0.484654,0,254916.131,31.234,41.248,7.558,-0.04,80.039,83,6.3084407375,6.3073982125,1.0425,,180696.144
79,0.753908,0.552757,0,730037.134,86.241,92.556,28.151,-0.077,206.949,214,6.315438974999999,6.31343795,2.001,116727.521,730461.361
80,0.910813,0.424396,0,48538.348,8.544,12.722,0.837,-0.015,22.102,23,6.583130225,6.582745,0.3852,,
81,0.690969,0.660289,0,47226.004,6.365,4.739,2.847,-0.014,13.951,15,6.5833885,6.5830270749999995,0.3614,,
