Sample,0,1,2,3,4,5,6,7
7d,0.931042,0.934104,0.915083,0.917727,0.913368,0.926402,0.915985,0.919712
12d,0.742569,0.735293,0.729046,0.730349,0.720786,0.713811,0.72307,0.720881
17d,0.435365,0.421751,0.40536,0.410085,0.415119,0.417578,0.398273,0.399278
22d,0.171434,0.167059,0.153939,0.157378,0.143267,0.153956,0.149081,0.163467
27d,0.076652,0.085452,0.059219,0.066954,0.054926,0.071046,0.056591,0.066863
