Sample,0,1,2,3,4,5,6,7
7d,953,363,1018,1543,1413,656,1648,1844
12d,926,576,1112,1474,1349,824,1510,1575
17d,740,493,778,1026,1005,642,1066,1160
22d,322,251,354,495,354,282,438,470
27d,630,430,736,910,933,619,933,1039
