Sample,0,1,2,3,4,5,6,7
7d,0.041173,0.043589,0.039049,0.040638,0.040913,0.037526,0.036188,0.039272
12d,0.031078,0.044064,0.033672,0.035055,0.032208,0.037212,0.036395,0.038132
17d,0.036252,0.039984,0.041322,0.032848,0.038075,0.031988,0.033045,0.0342
DO,0.030591,0.035656,0.031211,0.03185,0.030329,0.030641,0.031228,0.031193
