,E,S,bg_a,bg_aa,bg_d,bp,i_end,i_start,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms
0,0.101327,0.576924,1.146,1.108,0.819,0,244,176,3.854,27.892,34.181,-0.078,65.927,69,0.019154925,0.0177874375,1.3675
1,0.291418,0.379612,2.434,2.353,1.74,0,668,576,9.566,53.647,23.26,-0.165,86.473,93,0.0752416875,0.0723375625,2.9041
2,0.30661,0.818797,1.382,1.336,0.988,0,994,949,10.618,7.664,24.012,-0.094,42.293,46,0.0978011,0.096151825,1.6493
3,0.141549,0.64053,2.551,2.466,1.824,0,1972,1884,7.449,29.534,45.176,-0.173,82.159,89,0.2917882,0.28874442499999997,3.0438
4,0.294684,0.615903,1.983,1.917,1.417,0,2074,2020,9.017,19.083,21.583,-0.134,49.683,55,0.30575474999999996,0.3033889375,2.3658
5,0.137783,0.895052,2.944,2.847,2.105,0,3126,3070,6.056,5.153,37.895,-0.199,49.104,57,0.6643502499999999,0.6608370375,3.5132
6,0.106159,0.924809,2.014,1.947,1.44,0,3171,3126,3.986,3.053,33.56,-0.136,40.599,46,0.6667536125,0.6643502499999999,2.4034
7,0.209137,0.59866,0.918,0.888,0.656,0,3555,3481,9.082,29.112,34.344,-0.062,72.538,75,0.724697825,0.7236022875,1.0955
8,0.212411,0.656743,2.309,2.232,1.651,0,3799,3710,11.691,28.768,43.349,-0.156,83.809,90,0.7447043125,0.7419494375,2.7549
9,0.019609,1.027855,1.177,1.138,0.841,0,4325,4282,0.823,-1.138,41.159,-0.08,40.844,44,0.8753991,0.8739949625,1.4041
10,0.310976,0.700158,1.92,1.857,1.373,0,4801,4723,16.08,22.143,35.627,-0.13,73.85,79,1.018936,1.01664445,2.2916
11,0.372389,0.507188,3.136,3.032,2.242,0,5083,4891,34.864,90.968,58.758,-0.212,184.589,193,1.045089025,1.0413466375,3.7424
12,0.270535,0.545274,1.847,1.786,1.321,0,5367,5301,9.153,28.214,24.679,-0.125,62.046,67,1.1233516625,1.121147525,2.2041
13,0.329225,0.719276,1.88,1.818,1.344,0,5893,5842,11.12,13.182,22.656,-0.127,46.958,52,1.2479958875,1.245752375,2.2435
14,0.229767,0.827895,3.072,2.97,2.196,0,6003,5891,19.928,18.03,66.804,-0.208,104.762,113,1.251404625,1.247739275,3.6654
15,0.198413,0.612876,2.31,2.233,1.651,0,6227,6101,14.69,46.767,59.349,-0.156,120.806,127,1.2768553375,1.27409945,2.7559
16,0.371082,0.571191,2.505,2.422,1.791,0,6488,6362,25.495,51.578,43.209,-0.17,120.282,127,1.3048867124999999,1.301897425,2.9893
17,0.302943,0.682927,2.093,2.024,1.496,0,7324,7228,18.907,28.976,43.504,-0.142,91.386,97,1.5146917,1.512193975,2.4977
18,0.26086,0.654518,2.204,2.131,1.575,0,7541,7467,11.796,23.869,33.425,-0.149,69.09,75,1.5584367124999998,1.5558072374999998,2.6295
19,0.33735,0.537331,3.316,3.206,2.371,0,8074,7952,20.684,52.794,40.629,-0.225,114.108,123,1.7210070124999999,1.7170504375,3.9566
20,0.333859,0.583981,3.783,3.658,2.705,0,8673,8513,29.217,62.342,58.295,0.744,149.854,161,1.8919013624999999,1.8873870375,4.5143
21,0.390383,0.551753,2.473,2.391,1.768,0,9169,9014,31.527,65.609,49.232,2.833,146.368,156,1.994950075,1.9919990125,2.9511
22,0.282458,0.715446,2.633,2.546,1.883,0,9541,9449,17.367,24.454,44.117,-0.178,85.938,93,2.0671961249999997,2.0640539875,3.1421
23,0.202956,0.530015,1.596,1.543,1.141,0,9959,9859,10.404,45.457,40.859,-0.108,96.72,101,2.1691564,2.1672522499999998,1.9041
24,0.275191,0.528282,4.316,4.173,3.086,0,10689,10487,27.684,89.827,72.914,0.708,190.425,203,2.3532479375,2.3480975875,5.1503
25,0.278975,0.726638,1.39,1.344,0.994,0,10766,10706,11.61,15.656,30.006,-0.094,57.272,61,2.360004025,2.358345275,1.6588
26,0.230284,0.554324,3.107,3.004,2.221,0,11660,11536,14.893,51.996,49.779,-0.21,116.667,125,2.5736047374999997,2.5698972125,3.7075
27,0.259958,0.957973,2.459,2.377,1.758,0,12459,12391,15.541,2.623,44.242,-0.166,62.406,69,2.8223869875,2.8194530374999998,2.934
28,0.229449,0.601701,1.084,1.048,0.775,0,13738,13686,6.916,19.952,23.225,-0.073,50.092,53,3.1582980375,3.1570042375,1.2938
29,0.369506,0.431317,3.809,3.683,2.723,0,14771,14610,24.191,86.317,41.277,-0.258,151.784,162,3.5013924999999997,3.4968469375,4.5456
30,0.098952,1.0269,2.102,2.032,1.503,0,14928,14883,3.898,-1.032,35.497,1.858,38.364,46,3.524252275,3.5217444625,2.5078
31,0.395737,0.514522,1.895,1.832,1.355,0,15171,15078,18.105,43.168,27.645,-0.128,88.919,94,3.5607496624999997,3.5584887,2.261
32,0.272428,0.544889,2.088,2.019,1.493,0,15395,15262,18.912,57.981,50.507,0.859,127.399,134,3.5681904749999998,3.5656984499999997,2.492
33,0.163552,0.46412,1.546,1.494,1.105,0,15544,15469,5.454,38.506,27.895,-0.105,71.855,76,3.582088425,3.58024415,1.8443
34,0.277219,0.443038,2.379,2.3,1.701,0,15974,15874,11.621,52.7,30.299,-0.161,94.621,101,3.641939575,3.639101125,2.8384
35,0.284903,0.578761,2.022,1.955,1.446,0,16041,15970,10.978,28.045,27.554,-0.137,66.578,72,3.6440528375,3.6416401499999997,2.4127
36,0.262253,0.60692,3.346,3.235,2.392,0,16951,16763,28.654,70.765,80.608,-0.227,180.028,189,3.8554869999999997,3.8514950624999997,3.9919
37,0.242672,0.527902,3.297,3.188,2.357,0,17185,17077,12.703,46.812,39.643,0.777,99.158,109,3.8748869999999997,3.8709527374999997,3.9343
38,0.39669,0.436805,2.301,2.225,1.645,0,17743,17653,14.699,47.775,22.355,-0.156,84.829,91,3.9802396375,3.9774938625,2.7458
39,0.215979,0.609014,1.386,1.34,0.991,0,18924,18871,6.614,19.66,24.009,-0.094,50.283,54,4.3107018875,4.3090479875,1.6539
40,0.098495,0.767659,2.142,2.07,1.531,0,19103,19033,4.858,14.93,44.469,0.855,64.257,71,4.329706775,4.3271514875,2.5553
41,0.344244,0.349019,2.684,2.595,1.918,0,19881,19738,16.316,88.405,31.082,0.818,135.803,144,4.4571995,4.4539974375,3.2021
42,0.284468,0.410206,2.93,2.833,2.095,0,20037,19901,15.07,76.167,37.905,-0.198,129.142,137,4.466251,4.4627544,3.4966
43,0.16689,0.731801,2.089,2.02,1.494,0,20298,20245,5.911,12.98,29.506,-0.141,48.397,54,4.5359897375,4.5334968374999995,2.4929
44,0.373512,0.530602,1.54,1.489,1.101,0,20580,20514,12.46,29.511,20.899,-0.104,62.87,67,4.56733685,4.5654992875,1.8376
45,0.426094,0.510487,2.548,2.464,1.822,0,20834,20633,42.452,95.536,57.178,-0.173,195.166,202,4.571647437499999,4.568606625,3.0408
46,0.308852,0.343506,2.935,2.837,2.098,0,21029,20832,20.065,124.163,44.902,0.801,189.13,198,4.5750385,4.571536675,3.5018
47,0.25347,0.532114,2.101,2.031,1.502,0,21221,21054,21.899,75.969,64.498,-0.142,162.366,168,4.5829424625,4.5804356625,2.5068
48,0.425978,0.491518,2.052,1.984,1.467,0,21733,21638,18.948,46.016,25.533,-0.139,90.496,96,4.67854085,4.676092049999999,2.4488
49,0.227201,0.676641,2.76,2.669,1.973,0,22489,22428,8.24,17.331,28.027,0.813,53.598,62,4.938390925,4.9350973625,3.2936
50,0.261446,0.616805,1.883,1.82,1.346,0,25277,25142,21.117,50.18,59.654,-0.127,130.951,136,5.694052525,5.691806124999999,2.2464
51,0.312619,0.42619,2.939,2.841,2.101,0,25536,25311,29.061,125.159,63.899,-0.199,218.119,226,5.703856474999999,5.700349725,3.5068
52,0.349597,0.429914,2.294,2.217,1.64,0,26875,26772,14.706,55.783,27.36,-0.155,97.849,104,6.0596934875,6.0569567625,2.7367
53,0.239381,0.761254,2.397,2.318,1.714,0,27422,27307,19.603,25.682,62.286,1.838,107.571,116,6.1760468625,6.17318625,2.8606
54,0.208095,0.652372,1.636,1.581,1.169,0,27682,27617,8.364,21.419,31.831,-0.111,61.614,66,6.2417497875,6.239798137499999,1.9516
55,0.590271,0.307416,1.679,1.623,1.2,0,28016,27894,21.321,81.377,14.8,0.886,117.497,123,6.2988504249999995,6.296846824999999,2.0036
56,0.543542,0.367301,3.142,3.038,2.246,0,28215,28046,31.858,100.962,26.754,1.787,159.574,170,6.3094988625,6.305749587499999,3.7493
57,0.05636,1.062874,2.603,2.516,1.861,0,29835,29789,2.397,-2.516,40.139,-0.176,40.021,47,6.7868426374999995,6.783737149999999,3.1055
58,0.0858,0.967888,1.839,1.777,1.314,0,30797,30755,3.161,1.223,33.686,-0.124,38.07,43,7.0458941875,7.043700449999999,2.1937
59,0.397795,0.641676,1.494,1.445,1.068,0,32010,31958,12.506,17.555,18.932,-0.101,48.992,53,7.393137974999999,7.39135475,1.7832
60,0.246539,0.616724,2.399,2.32,1.715,0,32076,32013,8.601,21.68,26.285,0.838,56.565,64,7.396401324999999,7.393538287499999,2.863
61,0.203485,0.768115,1.554,1.503,1.111,0,32251,32181,10.446,15.497,40.889,-0.105,66.832,71,7.4057901,7.403935649999999,1.8544
