sample,n_bursts_aa,dir_ex_S1p,dir_ex_S_kde,dir_ex_S2p,dir_ex_S2pa,dir_ex_S2p_w1,dir_ex_S_kde_w1,dir_ex_S_kde_w4,dir_ex_S_kde_w5,dir_ex_S2p_w5,dir_ex_S2p_w5a
7d, 393, 0.055183, 0.067920, 0.071567, 0.048074, 0.064032, 0.067920, 0.062473, 0.061346, 0.055097, 0.046819
12d, 169, 0.048452, 0.072961, 0.098835, 0.046837, 0.091981, 0.072731, 0.069519, 0.067692, 0.076268, 0.042248
17d, 371, 0.048789, 0.084363, 0.106637, 0.060284, 0.094681, 0.083893, 0.072501, 0.065190, 0.072484, 0.046313
22d, 331, 0.047779, 0.078516, 0.090018, 0.058578, 0.083249, 0.077818, 0.070435, 0.064509, 0.073620, 0.051089
27d, 61, 0.035500, 0.040366, 0.121219, 0.020701, 0.075456, 0.040366, 0.045369, 0.032631, 0.035625, 0.003425
