,E,S,bp,max_rate,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms,max_rate_Dem,max_rate_Aem
0,0.192416,0.498557,0,53198.31,1.841,9.622,7.726,-0.028,19.188,21,0.00884745,0.008392012499999999,0.4554,,
1,0.350601,0.838933,0,51975.872,3.127,1.712,5.791,-0.021,10.63,12,0.009787724999999999,0.0094411,0.3466,,
2,0.134732,0.649652,0,192846.154,2.123,8.499,13.637,-0.037,24.26,27,0.0126445125,0.0120416,0.6029,124446.505,
3,0.176352,0.493174,0,159721.972,2.525,14.712,11.791,0.979,29.027,32,0.01558505,0.015238074999999998,0.347,108612.675,
4,0.00987,0.548684,0,318233.821,0.305,25.379,30.549,-0.046,56.232,61,0.0185270125,0.017778687499999998,0.7483,269325.958,
5,0.111526,0.408436,0,150753.263,1.967,25.546,15.671,-0.033,43.184,46,0.0228378125,0.022291375,0.5464,99805.565,
6,0.13805,0.740268,0,84057.843,2.193,5.573,13.69,-0.031,21.455,24,0.0458939875,0.04537935,0.5146,83730.245,
7,0.208085,0.410214,0,72963.453,2.534,17.509,9.644,-0.036,29.688,32,0.07403635,0.073445625,0.5907,37836.097,
8,0.584252,0.484068,0,48623.912,5.319,9.704,3.785,-0.022,18.808,20,0.079484975,0.079128325,0.3566,,
9,0.31835,0.493621,0,86224.734,4.487,14.46,9.608,-0.04,28.555,31,0.0814834,0.0808329375,0.6505,67854.178,
10,0.156062,0.451589,0,111948.256,2.886,22.461,15.609,-0.04,40.956,44,0.08689039999999999,0.08624101249999999,0.6494,78940.288,
11,0.20901,0.911357,0,310140.648,5.461,2.541,20.667,-0.034,28.67,32,0.09723345,0.09668123749999999,0.5522,183041.848,
12,0.213824,0.883725,0,79988.798,2.647,1.629,9.731,-0.027,14.006,16,0.1770807625,0.1766334375,0.4473,40592.303,
13,0.229034,0.926292,0,47237.511,2.015,0.7,6.782,-0.022,9.497,11,0.177147675,0.176786475,0.3612,,
14,0.306787,0.632218,0,70910.765,2.995,5.679,6.767,-0.024,15.441,17,0.250179975,0.24979313749999998,0.3868,,
15,0.63755,0.444297,0,172608.437,9.956,19.531,5.66,-0.035,35.146,37,0.25294822499999997,0.252383425,0.5648,,46934.865
16,0.063814,0.648269,0,97136.372,0.996,8.471,14.616,-0.039,24.083,27,0.290083275,0.2894461375,0.6371,69619.295,
17,0.012025,0.54514,0,93018.446,0.166,11.545,13.67,-0.033,25.381,28,0.2905440625,0.28999597499999996,0.5481,54871.351,
18,-0.021481,0.562009,0,47618.205,-0.185,6.701,8.783,-0.022,15.3,17,0.29064704999999996,0.290287125,0.3599,,
19,0.117736,0.629796,0,178127.014,2.472,12.34,18.521,-0.049,33.333,37,0.291139625,0.29034489999999996,0.7947,88658.467,
20,0.24137,0.683599,0,145006.59,4.992,9.573,15.69,-0.031,30.255,33,0.304496375,0.3039817625,0.5146,86805.47,
21,0.076078,1.01876,0,297618.921,1.218,-0.295,14.786,-0.022,15.709,18,0.6616877375,0.6613328875,0.3548,156645.815,
22,0.082073,1.036165,0,48487.183,0.783,-0.333,8.758,-0.025,9.209,11,0.6624947375,0.6620937375,0.401,,
23,0.102454,1.039737,0,44826.366,0.886,-0.33,7.76,-0.024,8.316,10,0.6628275,0.6624296125,0.3979,,
24,-0.025136,0.927375,0,44709.566,-0.215,0.669,8.76,-0.024,9.214,11,0.663542,0.6631436749999999,0.3983,,
25,0.196406,0.8517,0,66827.45,1.899,1.684,7.771,-0.023,11.354,13,0.6637788625,0.6633980374999999,0.3808,,
26,-0.015919,0.987615,0,122368.552,-0.431,0.34,27.521,-0.049,27.43,32,0.6658923625,0.6650973,0.7951,110721.367,
27,0.193382,0.63505,0,114748.127,2.579,7.663,10.755,-0.025,20.997,23,0.690085575,0.6896794875,0.4061,50046.598,
28,0.210081,0.588866,0,61582.849,2.573,8.55,9.674,-0.033,20.797,23,0.7103769,0.709835525,0.5414,46658.033,
29,0.129204,0.62968,0,267913.77,5.567,25.341,37.522,-0.048,68.431,74,0.724689075,0.7238959374999999,0.7931,267854.034,24392.436
30,0.135844,0.681551,0,260419.295,5.559,19.12,35.361,-0.065,60.04,66,0.7439371499999999,0.7428771125,1.06,144984.555,27917.302
31,-0.025121,0.761982,0,44752.88,-0.215,2.669,8.76,-0.024,11.215,13,0.744036225,0.7436380625,0.3982,,
32,-0.083733,0.919784,0,91441.745,-1.358,1.414,17.575,0.957,17.632,22,0.7851476625,0.7844424624999999,0.7052,92285.902,
33,-0.08063,1.026113,0,202700.231,-3.008,-0.949,40.311,-0.07,36.354,43,0.87539035,0.8742472625,1.1431,188971.118,
34,0.274648,0.785208,0,223905.614,7.4,7.37,19.543,-0.046,34.313,38,1.0173939875,1.0166357,0.7583,106242.399,32276.994
35,0.308037,0.675735,0,248163.485,6.043,9.414,13.575,-0.043,29.033,32,1.0183350625,1.0176298,0.7053,206182.795,
36,0.382426,0.513683,0,375467.517,20.567,50.916,33.214,-0.08,104.698,111,1.0431978499999999,1.04189285,1.305,96588.243,79426.757
37,0.206361,0.540844,0,181515.193,6.603,27.163,25.393,-0.062,59.159,64,1.0446878625,1.0436801125,1.0078,158799.9,34309.089
38,0.098776,0.47383,0,122704.81,1.824,20.5,16.638,-0.037,38.961,42,1.1233429124999998,1.12274125,0.6017,87056.883,
39,0.294912,0.605058,0,387138.808,6.169,13.654,14.749,-0.025,34.572,37,1.133498275,1.1330814,0.4169,248134.541,
40,-0.003199,1.022637,0,105416.082,-0.053,-0.369,16.732,-0.027,16.31,19,1.1586369625,1.1581924,0.4446,97033.051,
41,0.153118,0.807359,0,147702.883,2.812,4.382,15.551,-0.046,22.745,26,1.2397886249999999,1.239043975,0.7446,102258.475,
42,0.352086,0.66374,0,133917.291,7.904,11.373,14.545,-0.046,33.823,37,1.246895525,1.2461409374999999,0.7546,120518.021,23200.626
43,0.185692,0.820501,0,277663.837,7.575,8.925,33.22,-0.079,49.72,56,1.2497826125,1.2484878874999998,1.2947,92434.437,28808.81
44,0.370554,0.942255,0,64181.064,3.975,0.657,6.751,-0.025,11.383,13,1.25009225,1.2496796374999999,0.4126,,
45,-0.037702,0.901984,0,210474.031,-0.897,2.587,24.7,-0.03,26.389,30,1.2509794625,1.25048165,0.4978,186368.152,
46,0.132069,0.670953,0,502094.02,7.797,28.953,51.241,-0.077,87.991,96,1.2760880125,1.2748275875,1.2604,451056.091,29914.722
47,0.235855,0.879489,0,55696.358,2.678,1.556,8.678,-0.033,12.913,15,1.277231225,1.27669675,0.5345,,
48,0.209675,0.775462,0,57944.741,2.565,3.542,9.668,-0.034,15.775,18,1.277636475,1.2770850249999999,0.5514,32445.267,
49,0.323518,0.798178,0,102298.03,6.986,5.46,14.609,0.96,27.055,31,1.2799479125,1.2792980999999999,0.6498,53584.433,
50,0.229177,0.651769,0,48050.794,2.017,4.702,6.784,-0.022,13.503,15,1.3025976,1.3022391,0.3585,,
51,0.339901,0.55192,0,188916.38,15.092,36.047,29.309,-0.07,80.447,86,1.30358935,1.3024415249999999,1.1478,99711.138,42847.814
52,0.247364,0.62329,0,149106.312,3.52,8.601,10.711,-0.029,22.832,25,1.3042288499999999,1.3037482624999999,0.4806,90695.804,
53,0.229051,0.765152,0,47333.989,2.015,2.7,6.783,-0.022,11.498,13,1.3157969875,1.3154361125,0.3609,,
54,0.273863,0.600208,0,127611.779,5.151,12.529,13.658,-0.035,31.338,34,1.430245875,1.4296784249999999,0.5674,51052.218,
55,0.300413,0.729363,0,58060.707,3.75,4.632,8.733,-0.027,17.115,19,1.5058389749999999,1.5053958875,0.4431,,
56,0.350082,0.927127,0,46964.999,3.114,0.699,5.782,-0.022,9.596,11,1.5059949874999998,1.5056328625,0.3621,,
57,0.262253,0.737781,0,327264.338,13.93,18.878,39.187,-0.083,71.995,79,1.5141306374999999,1.5127801374999998,1.3505,222471.9,75756.681
58,0.513469,0.949271,0,151920.383,6.049,0.63,5.731,-0.027,12.409,14,1.5153891874999998,1.5149430874999998,0.4461,,
59,0.116307,0.637003,0,108898.328,1.916,9.385,14.554,-0.045,25.855,29,1.55668225,1.555942075,0.7402,84890.578,
60,0.262863,0.726432,0,269739.942,6.655,9.534,18.662,-0.034,34.851,38,1.557589875,1.5570290125,0.5609,203154.423,
