sample,n_bursts_all,n_bursts_do,n_bursts_fret,E_kde_w,E_gauss_w,E_gauss_w_sig,E_gauss_w_err,S_kde,S_gauss,S_gauss_sig,S_gauss_err,E_pr_do_kde,E_pr_do_hsm,E_pr_do_gauss,nt_mean
7d, 1371, 726, 599, 0.934000, 0.931457, 0.054452, 0.002225, 0.558200, 0.561550, 0.098080, 0.004007, 0.097800, 0.089309, 0.099816, 22.293113
12d, 1531, 411, 1083, 0.761200, 0.749827, 0.085865, 0.002609, 0.584800, 0.570877, 0.103804, 0.003154, 0.101200, 0.119285, 0.098814, 22.653599
17d, 3018, 560, 2392, 0.491400, 0.485029, 0.101939, 0.002084, 0.535800, 0.558352, 0.110306, 0.002255, 0.100800, 0.098344, 0.103109, 23.157688
22d, 2552, 403, 2045, 0.276600, 0.279934, 0.070817, 0.001566, 0.562800, 0.564196, 0.112860, 0.002496, 0.092200, 0.088573, 0.091123, 25.373585
27d, 998, 204, 757, 0.195800, 0.195112, 0.058563, 0.002129, 0.554000, 0.583387, 0.112116, 0.004075, 0.082000, 0.096362, 0.088704, 19.570391
