,1,2,3,4,5,6,7,8
mean,3.22532,3.75747,3.35081,3.3803,3.3007,3.20666,3.24678,3.29263
std,0.33302,0.26705,0.33578,0.24944,0.32652,0.19952,0.14574,0.22249
