,E,S,bp,max_rate,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms,max_rate_Dem,max_rate_Aem
0,-0.043641,0.979154,0,223493.723,-0.908,0.443,21.724,-0.029,21.259,25,0.02323295,0.0225803375,0.6526,172690.062,
1,0.166868,1.003081,0,99532.472,5.699,-0.105,28.452,-0.058,34.046,40,0.0711317375,0.0698368125,1.2949,94630.937,13074.41
2,0.077148,1.023852,0,163194.726,1.156,-0.349,13.827,-0.018,14.634,17,0.0756931375,0.0752840625,0.4091,131101.593,
3,0.089917,1.040638,0,45816.856,0.774,-0.336,7.833,-0.018,8.271,10,0.076436925,0.076043,0.3939,,
4,-0.035183,0.930332,0,118062.374,-0.37,0.788,10.895,-0.011,11.313,13,0.08982997499999999,0.089581675,0.2483,95241.898,
5,0.295906,1.036138,0,54402.617,2.871,-0.338,6.832,-0.018,9.365,11,0.09483098749999999,0.09443435,0.3966,,
6,0.142162,0.854251,0,152564.027,2.117,2.54,12.772,-0.024,17.429,20,0.20708449999999998,0.20654565,0.5389,76490.559,
7,0.089398,0.838221,0,44524.926,0.769,1.66,7.831,-0.018,10.26,12,0.20724381249999999,0.20684514999999998,0.3987,,
8,0.05367,0.862808,0,46764.094,0.557,1.651,9.827,-0.018,12.035,14,0.2072907625,0.2068819375,0.4088,43096.378,
9,-0.021559,1.026672,0,196355.902,-0.563,-0.678,26.664,-0.036,25.423,30,0.2093428875,0.208548175,0.7947,191595.928,
10,-0.073657,0.908744,0,390615.424,-1.224,1.668,17.835,-0.017,18.28,21,0.20993384999999998,0.2095449375,0.3889,391733.589,
11,0.009286,0.89535,0,144543.93,0.194,2.445,20.725,-0.029,23.364,27,0.2628444875,0.26219407499999997,0.6504,121088.023,
12,-0.002202,1.022076,0,213223.662,-0.052,-0.512,23.746,-0.027,23.182,27,0.2643813375,0.2637815375,0.5998,148344.741,
13,0.120341,1.029927,0,140302.533,3.903,-0.942,28.532,-0.05,31.493,37,0.266595825,0.2654912375,1.1046,139528.618,
14,-0.033977,1.037321,0,47261.368,-0.291,-0.308,8.847,-0.016,8.249,10,0.2667458625,0.2663850625,0.3608,,
