,E,S,bg_a,bg_aa,bg_d,bp,i_end,i_start,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms
0,0.636062,0.691436,2.61,1.912,1.153,0,566,399,71.39,50.088,40.847,-0.12,162.325,168,0.144694575,0.141990275,2.7043
1,0.588362,0.717125,7.68,5.627,3.391,0,1413,1296,42.32,28.373,29.609,0.648,100.302,118,0.375805375,0.36784796249999996,7.9574
2,0.151674,0.971228,6.077,4.452,2.683,0,1921,1855,7.923,1.548,44.317,-0.278,53.788,67,0.5437888375,0.537492725,6.2961
3,0.787218,0.443866,3.15,2.308,1.391,0,2815,2718,31.85,50.692,8.609,-0.144,91.15,98,0.8322563125,0.828992125,3.2642
4,0.725559,0.501143,3.921,2.873,1.732,0,2864,2759,35.079,48.127,13.268,0.82,96.474,106,0.83520045,0.83113765,4.0628
5,0.621754,0.746503,5.604,4.106,2.475,0,3770,3631,58.396,31.894,35.525,1.743,125.815,140,1.0465449624999998,1.0407383374999999,5.8066
6,0.136101,0.933348,3.857,2.826,1.703,0,4037,3997,4.143,2.174,26.297,-0.177,32.613,41,1.14158835,1.1375917875,3.9966
7,0.594801,0.517918,4.119,3.018,1.819,0,5718,5652,17.881,27.982,12.181,-0.189,58.044,67,1.8914564999999999,1.8871884125,4.2681
8,0.177084,1.047408,6.42,4.704,2.835,0,7607,7537,10.58,-2.704,49.165,-0.294,57.041,71,2.564198775,2.5575466,6.6522
9,0.108677,0.936287,8.07,5.913,3.563,0,7785,7720,4.93,3.087,40.437,-0.37,48.454,66,2.625848375,2.6174870749999997,8.3613
10,-0.011623,0.9997,5.443,3.989,2.404,0,8213,8164,-0.443,0.011,38.596,-0.249,38.164,50,2.7790857,2.7734455375,5.6402
11,0.699212,0.542118,4.338,3.178,1.916,0,8907,8757,53.662,64.822,23.084,-0.199,141.568,151,2.9892477625,2.984753175,4.4946
12,0.195511,1.045524,3.611,2.646,1.594,0,9205,9162,7.389,-1.646,30.406,-0.165,36.149,44,3.050545875,3.0468046875,3.7412
13,0.558697,0.572664,3.955,2.898,1.746,0,9589,9525,18.045,24.102,14.254,-0.181,56.401,65,3.1880483125,3.183950775,4.0975
14,0.595842,0.592132,4.34,3.18,1.916,0,12492,12408,26.66,30.82,18.084,-0.199,75.564,85,4.3019476875,4.297451275,4.4964
15,0.656178,0.717414,2.953,2.164,1.304,0,12988,12923,28.047,16.836,14.696,-0.135,59.579,66,4.4116467125,4.4085869875,3.0597
16,0.783764,0.483345,4.773,3.498,2.108,0,13230,13058,61.227,83.502,16.892,0.781,161.621,173,4.431502375,4.4265564125,4.946
17,0.522396,0.604027,6.646,4.87,2.935,0,13862,13726,38.354,48.13,35.065,0.696,121.549,137,4.5488421,4.54195555,6.8866
