,E,S,bg_a,bg_aa,bg_d,bp,i_end,i_start,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms
0,0.19478,1.009127,3.06,2.369,1.178,0,330,284,7.94,-0.369,32.822,-0.115,40.393,47,0.07273732499999999,0.06999105,2.7463
1,0.219548,1.05116,7.357,5.694,2.832,0,379,330,7.643,-1.694,27.168,0.723,33.116,50,0.07933935,0.07273732499999999,6.602
2,0.089233,0.925082,7.358,5.695,2.832,0,466,406,3.642,3.305,37.168,0.723,44.114,61,0.09565554999999999,0.0890525625,6.603
3,0.148516,0.940817,8.862,6.859,3.411,0,876,771,12.138,5.141,69.589,-0.333,86.868,106,0.2129024,0.20495,7.9524
4,0.115107,1.016702,11.529,8.923,4.438,0,1175,1035,13.471,-1.923,103.562,0.566,115.111,141,0.2708,0.26045501249999997,10.345
5,0.00751,1.049251,4.734,3.664,1.822,0,1236,1193,0.266,-1.664,35.178,-0.178,33.78,44,0.2854019625,0.28115416249999997,4.2478
6,0.718806,0.517542,5.41,4.187,2.082,0,1624,1394,81.59,105.813,31.918,-0.203,219.32,231,0.3296039375,0.32474919999999996,4.8547
7,-0.006611,0.829432,7.238,5.602,2.786,0,2276,2218,-0.238,7.398,36.214,-0.272,43.374,59,0.5174438124999999,0.510949075,6.4947
8,0.08309,0.96058,3.789,2.932,1.458,0,2630,2544,6.211,3.068,68.542,0.858,77.821,87,0.572956925,0.5695571374999999,3.3998
9,0.390169,0.6257,6.055,4.687,2.331,0,2750,2688,11.945,18.313,18.669,0.772,48.927,63,0.5920397625,0.5866059874999999,5.4338
10,0.148764,1.079306,5.454,4.221,2.099,0,3165,3101,8.546,-4.221,48.901,-0.205,53.226,65,0.7123867125,0.707492675,4.894
11,0.14587,0.928585,6.341,4.907,2.441,0,3886,3802,9.659,5.093,56.559,-0.238,71.311,85,0.8971895375,0.8914998875,5.6896
12,0.157692,0.933799,9.586,7.419,3.69,0,4484,4379,12.414,5.581,66.31,0.639,84.306,106,1.050403975,1.04180235,8.6016
13,0.858408,0.510689,3.515,2.721,1.353,0,5284,5144,58.485,65.279,9.647,-0.132,133.411,141,1.1227976499999999,1.1196431249999999,3.1545
14,0.840138,0.539256,7.199,5.571,2.771,0,5392,5166,95.801,97.429,18.229,-0.271,211.459,227,1.1270967875,1.1206372875,6.4595
15,0.164974,0.907492,4.688,3.628,1.804,0,7068,6990,10.312,6.372,52.196,-0.176,68.88,79,1.6017962625,1.59758975,4.2065
16,0.138227,0.933226,6.977,5.4,2.686,0,7804,7751,5.023,2.6,31.314,-0.262,38.937,54,1.7539471,1.7476862125,6.2609
17,0.133109,0.819166,8.519,6.593,3.279,0,7933,7844,7.481,12.407,48.721,2.68,68.609,90,1.7754895,1.7678451625,7.6443
18,0.650101,0.71883,5.465,4.229,2.103,0,8185,8110,29.535,17.771,15.897,0.794,63.202,76,1.8383024,1.8333986999999998,4.9037
19,0.912285,0.586065,3.664,2.836,1.41,0,8552,8378,89.336,69.164,8.59,-0.138,167.089,175,1.8787915625,1.8755034375,3.2881
20,0.205,0.996392,9.971,7.717,3.838,0,8729,8629,16.029,0.283,62.162,0.625,78.475,101,1.9001382999999998,1.8911912375,8.9471
21,0.104494,0.959654,5.845,4.524,2.25,0,10229,10156,6.155,2.476,52.75,-0.22,61.382,74,2.355492075,2.350247425,5.2446
22,0.156434,0.758714,10.797,8.356,4.156,0,10390,10306,7.203,14.644,38.844,0.594,60.692,85,2.3835938875,2.3739057875,9.6881
23,0.192095,1.093714,6.304,4.879,2.426,0,11884,11829,8.696,-3.879,36.574,0.763,41.391,56,2.8098544875,2.804197775,5.6567
24,0.25882,0.978095,6.84,5.294,2.633,0,12081,12034,8.16,0.706,23.367,0.743,32.233,48,2.8598398499999997,2.8537019375,6.1379
25,0.080104,1.026556,8.091,6.262,3.114,0,12221,12156,3.909,-1.262,44.886,0.696,47.532,66,2.88975015,2.882489525,7.2606
26,0.12759,0.93899,7.137,5.523,2.747,0,14051,13996,4.863,2.477,33.253,-0.268,40.593,56,3.5190403875,3.5126363874999997,6.404
27,0.050555,0.995312,4.918,3.806,1.893,0,16375,16324,2.082,0.194,39.107,-0.185,41.383,52,4.112601575,4.108188825,4.4128
28,0.277145,0.941062,6.176,4.78,2.377,0,16425,16375,9.824,2.22,25.623,-0.232,37.667,51,4.118143625,4.112601575,5.542
29,0.715738,0.599344,5.195,4.02,2.0,0,17689,17579,42.805,39.98,17.0,-0.195,99.785,111,4.4577022374999995,4.453040875,4.6614
30,0.173231,0.889182,8.971,6.943,3.453,0,18012,17948,7.029,5.057,33.547,-0.337,45.633,65,4.5567418,4.548691874999999,8.0499
31,-0.040318,1.060878,6.339,4.906,2.44,0,18274,18230,-1.339,-1.906,34.56,-0.238,31.314,45,4.633045275,4.62735675,5.6885
32,0.109102,0.890508,6.789,5.254,2.613,0,19054,18997,4.211,4.746,34.387,-0.255,43.344,58,4.876840375,4.8707485125,6.0919
33,0.385956,1.040468,5.503,4.259,2.118,0,20558,20516,12.497,-1.259,19.882,-0.207,31.119,43,5.2917456,5.2868072375,4.9384
34,0.75868,0.641816,4.861,3.762,1.871,0,21344,21208,60.139,44.238,19.129,2.817,123.506,137,5.444347887499999,5.4399862625,4.3616
35,0.074377,0.952879,6.293,4.87,2.422,0,22017,21938,4.707,3.13,58.578,-0.237,66.414,80,5.5879921625,5.582345225,5.6469
36,0.117522,0.928519,6.681,5.171,2.572,0,22570,22517,4.319,2.829,32.428,-0.251,39.576,54,5.7427023125,5.73670685,5.9955
37,0.748795,0.604239,4.833,3.741,1.86,0,25962,25865,39.167,34.259,13.14,0.818,86.566,98,6.784590525,6.780253612499999,4.3369
38,0.239227,1.004737,9.639,7.46,3.71,0,26623,26504,23.361,-0.46,74.29,1.637,97.19,120,6.91254305,6.9038933375,8.6497
39,0.02622,0.980858,10.932,8.461,4.208,0,27585,27481,2.068,1.539,76.792,0.589,80.399,105,7.2017515874999996,7.1919417,9.8099
40,0.012738,1.036823,10.575,8.185,4.071,0,27886,27831,0.425,-1.185,32.929,0.602,32.17,56,7.269839525,7.2603501375,9.4894
41,0.128907,1.131051,6.448,4.99,2.482,0,28668,28616,5.552,-4.99,37.518,0.758,38.08,53,7.517940524999999,7.512154574999999,5.786
42,-0.007543,1.071391,5.232,4.049,2.014,0,28739,28699,-0.232,-2.049,30.986,0.803,28.705,41,7.5331942,7.528499387499999,4.6948
43,0.128829,0.986543,5.899,4.566,2.271,0,29519,29474,4.101,0.434,27.729,0.778,32.264,46,7.741586337499999,7.736292625,5.2937
44,0.108647,1.048302,8.295,6.42,3.193,0,29628,29561,5.705,-2.42,46.807,-0.312,50.093,68,7.7610872749999995,7.75364425,7.443
45,0.810631,0.598968,3.223,2.494,1.241,0,29805,29713,41.777,34.506,9.759,-0.121,86.042,93,7.7814865125,7.778594387499999,2.8921
46,0.789636,0.584272,3.454,2.673,1.33,0,31327,31250,32.546,29.327,8.67,-0.13,70.543,78,8.2640967875,8.260997224999999,3.0996
47,0.1337,1.085152,8.977,6.948,3.455,0,32112,32058,5.023,-2.948,32.545,0.662,34.619,55,8.5046418,8.49658625,8.0556
48,0.109625,0.926763,4.391,3.399,1.69,0,33810,33766,3.609,2.601,29.31,-0.165,35.52,45,9.0208476625,9.0169072,3.9405
49,0.222653,0.826159,6.23,4.821,2.398,0,33987,33916,10.77,10.179,37.602,-0.234,58.551,72,9.0703361,9.064745975,5.5901
50,0.140364,0.994332,7.185,5.561,2.766,0,35407,35315,10.815,0.439,66.234,-0.27,77.489,93,9.436997775,9.4305504625,6.4473
51,-0.001507,1.063049,13.105,10.143,5.044,0,35873,35780,-0.105,-4.143,69.956,-0.493,65.708,94,9.5423538875,9.530594125,11.7598
52,0.109447,0.982541,7.729,5.982,2.975,0,36021,35947,6.271,1.018,51.025,-0.291,58.314,75,9.5678406,9.560905025,6.9356
53,-0.018811,1.027801,7.629,5.904,2.936,0,36160,36112,-0.629,-0.904,34.064,-0.287,32.53,49,9.604994787499999,9.598149124999999,6.8457
54,0.251534,0.734202,12.474,9.654,4.802,0,38442,38332,15.526,22.346,46.198,-0.469,84.07,111,10.298888674999999,10.287695187499999,11.1935
55,0.19271,0.97891,6.529,5.053,2.513,0,39260,39202,8.471,0.947,35.487,-0.246,44.905,59,10.5318516,10.5259930875,5.8585
56,0.10162,1.006653,11.473,8.88,4.416,0,39514,39357,13.527,-0.88,119.584,0.569,132.231,158,10.581743375,10.5714480125,10.2954
57,0.057391,1.00886,5.636,4.362,2.169,0,39590,39538,2.364,-0.362,38.831,-0.212,40.833,53,10.5982968875,10.593239725,5.0572
58,0.131913,0.959769,8.481,6.564,3.265,0,40942,40889,4.519,1.436,29.735,-0.319,35.69,54,11.0270031,11.019392437499999,7.6107
