,E,S,bg_a,bg_aa,bg_d,bp,i_end,i_start,na,naa,nd,nda,nt,size_raw,t_end,t_start,width_ms
0,0.102133,0.544892,1.233,1.192,0.881,0,243,173,3.767,30.808,33.119,-0.083,67.694,71,0.018847525,0.017376625,1.4709
1,0.309349,0.376346,2.651,2.563,1.895,0,671,576,10.349,55.437,23.105,-0.18,88.89,96,0.075501025,0.0723375625,3.1635
2,0.290108,0.831108,1.107,1.07,0.791,0,992,949,9.893,6.93,24.209,-0.075,41.032,44,0.097472375,0.096151825,1.3205
3,0.181006,0.602956,1.64,1.585,1.172,0,1970,1890,8.36,30.415,37.828,-0.111,76.603,81,0.2914114,0.2894548875,1.9565
4,0.046636,0.927752,1.436,1.388,1.027,0,3166,3127,1.564,2.612,31.973,-0.097,36.149,40,0.6663368375,0.66462345,1.7134
5,0.203217,0.558957,1.313,1.269,0.938,0,3560,3481,8.687,33.731,34.062,-0.089,76.48,80,0.725168625,0.7236022875,1.5663
6,0.19412,0.655795,1.984,1.918,1.418,0,3799,3716,10.016,27.082,41.582,-0.134,78.68,84,0.7447043125,0.7423371999999999,2.3671
7,0.014364,1.008633,1.403,1.356,1.003,0,4326,4282,0.597,-0.356,40.997,-0.095,41.239,45,0.8756685125,0.8739949625,1.6736
8,0.29585,0.716046,1.081,1.046,0.773,0,4764,4720,8.919,11.954,21.227,-0.073,42.1,45,1.0176623249999999,1.0163718874999998,1.2904
9,0.372389,0.507188,3.136,3.032,2.242,0,5083,4891,34.864,90.968,58.758,-0.212,184.589,193,1.045089025,1.0413466375,3.7424
10,0.237227,0.799973,2.781,2.689,1.988,0,6007,5894,20.219,21.311,65.012,-0.188,106.543,114,1.2515822125,1.2482640375,3.3182
11,0.19199,0.589382,2.041,1.973,1.459,0,6217,6098,12.959,47.027,54.541,-0.138,114.528,120,1.2760967625,1.2736619375,2.4348
12,0.358536,0.575173,2.343,2.265,1.675,0,6483,6363,23.657,48.735,42.325,-0.159,114.716,121,1.30478775,1.3019918124999998,2.7959
13,0.316885,0.704071,1.468,1.419,1.049,0,7319,7233,18.532,24.581,39.951,-0.099,83.064,87,1.5144757375,1.5127246374999999,1.7511
14,0.356356,0.489416,3.629,3.509,2.595,0,8073,7936,22.371,65.491,40.405,-0.246,128.267,138,1.7206061375,1.7162754875,4.3306
15,0.333859,0.583981,3.783,3.658,2.705,0,8673,8513,29.217,62.342,58.295,0.744,149.854,161,1.8919013624999999,1.8873870375,4.5143
16,0.390383,0.551753,2.473,2.391,1.768,0,9169,9014,31.527,65.609,49.232,2.833,146.368,156,1.994950075,1.9919990125,2.9511
17,0.277919,0.707975,2.318,2.241,1.657,0,9539,9449,16.682,24.759,43.343,-0.157,84.784,91,2.0668197,2.0640539875,2.7657
18,0.196595,0.502182,2.088,2.018,1.492,0,9959,9854,9.912,49.982,40.508,-0.141,100.401,106,2.1691564,2.1666653124999997,2.4911
19,0.282985,0.528137,2.277,2.201,1.628,0,10602,10485,16.723,52.799,42.372,-0.154,111.894,118,2.3506977499999997,2.3479808875,2.7169
20,0.275045,0.527139,2.031,1.963,1.452,0,10686,10599,11.969,39.037,31.548,-0.138,82.554,88,2.3529285625,2.3505054624999997,2.4231
21,0.291355,0.730561,1.525,1.474,1.09,0,10768,10711,11.475,14.526,27.91,-0.103,53.91,58,2.3603143625,2.3584946125,1.8198
22,0.229234,0.544742,3.219,3.112,2.301,0,11662,11535,14.781,53.888,49.699,0.782,118.367,128,2.5737114375,2.5698704125,3.841
23,0.261743,0.963537,1.876,1.813,1.341,0,12457,12393,15.124,2.187,42.659,-0.127,59.97,65,2.8219382,2.8197002875,2.2379
24,0.224837,0.558033,1.84,1.779,1.316,0,12736,12675,7.16,25.221,24.684,-0.125,57.065,62,2.872492475,2.87029665,2.1958
25,0.380222,0.418011,3.29,3.181,2.352,0,14770,14613,23.71,86.819,38.648,-0.223,149.176,158,3.5011216999999997,3.4971955374999997,3.9262
26,0.047521,1.007237,1.3,1.257,0.929,0,14925,14885,1.7,-0.257,34.071,1.912,35.513,41,3.5237892499999997,3.5222379,1.5514
27,0.373742,0.458425,2.981,2.882,2.131,0,15172,15054,19.019,60.118,31.869,-0.202,111.005,119,3.5608712249999996,3.5573139874999997,3.5572
28,0.271399,0.532058,2.222,2.148,1.589,0,15396,15260,18.778,60.852,50.411,0.85,130.041,137,3.5683284375,3.565677025,2.6514
29,0.246853,0.465336,1.952,1.888,1.396,0,15545,15462,9.048,42.112,27.604,-0.132,78.764,84,3.5822243874999997,3.57989475,2.3296
